,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1997-03,1.58B,,1.58B,4.294B,,4.294B,,2.584B,888.00M,3.472B,,,2.476B,11.82B,,,,,,,19.69B,-10.17B,9.525B,,,,,,,3.002B,12.53B,24.35B,,1.865B,,,,1.865B,4.719B,6.584B,,,,1.469B,,1.469B,,,,8.053B,1.908B,,1.908B,,,,,,,2.377B,4.285B,12.34B,,,10.23B,,,,,12.01B,,,
1996-12,1.513B,,1.513B,4.035B,,4.035B,,,,3.22B,,,2.551B,11.32B,,,,,,,19.60B,-9.83B,9.768B,,,,,,,2.989B,12.76B,24.08B,,2.05B,,,,2.05B,,2.05B,,,,1.382B,,1.382B,,,4.563B,7.995B,1.931B,,1.931B,1.108B,,1.108B,,,,1.247B,4.286B,12.28B,,,8.343B,,,,,11.80B,,,
1996-09,1.182B,325.00M,1.507B,4.036B,,4.036B,,2.515B,907.00M,3.422B,,,1.85B,10.82B,,,,,,,19.14B,-9.389B,9.746B,,,,,,,3.331B,13.08B,23.89B,,1.822B,,,,1.822B,4.208B,6.03B,,,,1.83B,,1.83B,,,,7.86B,1.926B,,1.926B,,,,,,,2.233B,4.159B,12.02B,,,8.394B,,,,,11.87B,,,
1996-06,941.00M,291.00M,1.232B,3.941B,,3.941B,,2.444B,989.00M,3.433B,,,1.847B,10.45B,,,,,,,18.66B,-8.903B,9.761B,,,,,,,3.381B,13.14B,23.60B,,1.751B,,,,1.751B,4.123B,5.874B,,,,1.763B,,1.763B,,,,7.637B,1.948B,,1.948B,,,,,,,2.254B,4.202B,11.84B,,,8.378B,,,,,11.76B,,,
1996-03,845.00M,289.00M,1.134B,4.08B,,4.08B,,2.404B,1.034B,3.438B,,,1.875B,10.53B,,,,,,,18.09B,-8.494B,9.597B,,,,,,,3.252B,12.85B,23.38B,,1.869B,,,,1.869B,4.26B,6.129B,,,,1.655B,,1.655B,,,,7.784B,1.956B,,1.956B,,,,,,,2.143B,4.099B,11.88B,,,7.786B,,,,,11.49B,,,
1995-12,725.00M,,725.00M,4.081B,,4.081B,,,,3.528B,,,2.176B,10.51B,,,,,,,17.47B,-8.11B,9.356B,,,,,,,2.935B,12.29B,22.80B,,2.018B,,,,2.018B,,2.018B,,,,1.605B,,1.605B,,,4.17B,7.793B,1.949B,,1.949B,968.00M,,968.00M,,,,1.043B,3.96B,11.75B,,,7.461B,,,,,11.05B,,,
1995-09,666.00M,328.00M,994.00M,4.012B,,4.012B,,2.423B,1.039B,3.462B,,,1.582B,10.05B,,,,,,,16.70B,-7.747B,8.951B,,,,,,,2.981B,11.93B,21.98B,,1.812B,,,,1.812B,,1.812B,,,,1.731B,,1.731B,,,3.841B,7.384B,1.961B,,1.961B,,,,,,,1.895B,3.856B,11.24B,,,7.58B,,,,,10.74B,,,
1995-06,760.00M,319.00M,1.079B,4.018B,,4.018B,,2.185B,997.00M,3.182B,,,2.019B,10.30B,,,,,,,16.00B,-7.503B,8.495B,,,,,,,1.672B,10.17B,20.46B,,1.799B,,,,1.799B,3.695B,5.494B,,,,1.87B,,1.87B,,,,7.364B,1.519B,,1.519B,,,,,,,1.603B,3.122B,10.49B,,,6.965B,,,,,9.979B,,,
1995-03,850.00M,334.00M,1.184B,3.63B,,3.63B,,2.119B,905.00M,3.024B,,,1.818B,9.656B,,,,,,,14.86B,-7.121B,7.735B,,,,,,,1.553B,9.288B,18.94B,,1.743B,,,,1.743B,3.60B,5.343B,,,,1.53B,,1.53B,,,,6.873B,1.126B,,1.126B,,,,,,,1.48B,2.606B,9.479B,,,6.23B,,,,,9.465B,,,
1994-12,741.00M,,741.00M,3.739B,,3.739B,,1.971B,699.00M,2.67B,,,1.775B,8.925B,0.00,169.00M,3.504B,10.06B,,,13.73B,-6.657B,7.073B,,,,,,,1.538B,8.611B,17.54B,,1.678B,,,,1.678B,3.323B,5.001B,,,,916.00M,,916.00M,,,,5.917B,1.127B,,1.127B,509.00M,,509.00M,,,,887.00M,2.523B,8.44B,,1.764B,5.917B,1.415B,,,,9.096B,,,
1994-09,734.00M,,734.00M,3.612B,,3.612B,,1.792B,772.00M,2.564B,,,1.561B,8.471B,,,,,,,11.62B,-5.022B,6.594B,,,,,,,1.493B,8.087B,16.56B,,1.527B,,,,1.527B,2.875B,4.402B,,,,1.90B,,1.90B,,,,6.302B,1.148B,,1.148B,,,,,,,1.493B,2.641B,8.943B,,,4.40B,,,,,7.615B,,,
1994-06,683.00M,301.00M,984.00M,3.065B,,3.065B,,1.658B,714.00M,2.372B,,,1.346B,7.767B,,,,,,,10.94B,-4.713B,6.222B,,,,,,,1.467B,7.689B,15.46B,,1.459B,,,,1.459B,2.656B,4.115B,,,,1.50B,,1.50B,,,,5.615B,1.216B,,1.216B,,,,,,,1.417B,2.633B,8.248B,,,4.434B,,,,,7.208B,,,
1994-03,728.00M,330.00M,1.058B,2.678B,,2.678B,,1.497B,714.00M,2.211B,,,1.214B,7.161B,,,,,,,10.12B,-4.409B,5.716B,,,,,,,1.424B,7.14B,14.30B,,1.333B,,,,1.333B,2.695B,4.028B,,,,809.00M,,809.00M,,,,4.837B,1.373B,,1.373B,,,,,,,1.329B,2.702B,7.539B,,,4.497B,,,,,6.762B,,,
1993-12,886.00M,358.00M,1.244B,2.476B,,2.476B,1.28B,,584.00M,1.864B,,675.00M,454.00M,6.713B,0.00,151.00M,2.475B,7.081B,,,9.707B,-4.16B,5.547B,,,,,,,1.238B,6.785B,13.50B,,1.338B,,,,1.338B,2.496B,3.834B,,,,555.00M,,555.00M,,,,4.389B,1.36B,,1.36B,433.00M,,433.00M,,,,907.00M,2.70B,7.089B,,836.00M,4.534B,1.039B,,,,6.409B,,,
1993-09,905.00M,,905.00M,,,2.808B,,,,1.73B,,,997.00M,6.44B,,,,,,,9.405B,-4.343B,5.062B,,,,,,,1.153B,6.215B,12.66B,,1.136B,,,,1.136B,,1.136B,,,,649.00M,,649.00M,,,2.313B,4.098B,1.438B,,1.438B,,,,,,,1.081B,2.519B,6.617B,,,3.335B,,,,,6.038B,,,
1993-06,670.00M,,670.00M,,,2.514B,,,,1.561B,,,958.00M,5.703B,,,,,,,8.985B,-4.112B,4.873B,,,,,,,1.057B,5.93B,11.63B,,1.037B,,,,1.037B,,1.037B,,,,574.00M,,574.00M,,,2.174B,3.785B,1.226B,,1.226B,,,,,,,931.00M,2.157B,5.942B,,,3.457B,,,,,5.691B,,,
1993-03,794.00M,,794.00M,,,2.042B,,,,1.407B,,,1.182B,5.425B,,,,,,,8.52B,-3.849B,4.671B,,,,,,,947.00M,5.618B,11.04B,,974.00M,,,,974.00M,,974.00M,,,,357.00M,,357.00M,,,1.983B,3.314B,1.412B,,1.412B,,,,,,,924.00M,2.336B,5.65B,,,3.512B,,,,,5.393B,,,
1992-12,677.00M,,677.00M,2.289B,,2.289B,,,,1.321B,,,931.00M,5.218B,,,,,,,8.179B,-3.603B,4.576B,,,,,,,835.00M,5.411B,10.63B,,1.127B,,,,1.127B,,1.127B,,,,437.00M,,437.00M,,,1.771B,3.335B,1.258B,,1.258B,230.00M,,230.00M,,,,662.00M,2.15B,5.485B,,,3.634B,,,,,5.144B,,,
1992-09,583.00M,,583.00M,,,2.092B,,,,1.326B,,,1.094B,5.095B,,,,,,,8.127B,-3.762B,4.365B,,,,,,,763.00M,5.128B,10.22B,,911.00M,,,,911.00M,,911.00M,,,,659.00M,,659.00M,,,1.562B,3.132B,1.262B,,1.262B,,,,,,,800.00M,2.062B,5.194B,,,3.013B,,,,,5.029B,,,
1992-06,537.00M,,537.00M,,,1.97B,,,,1.309B,,,1.085B,4.901B,,,,,,,7.814B,-3.549B,4.265B,,,,,,,721.00M,4.986B,9.887B,,842.00M,,,,842.00M,,842.00M,,,,659.00M,,659.00M,,,1.416B,2.917B,1.263B,,1.263B,,,,,,,801.00M,2.064B,4.981B,,,3.153B,,,,,4.906B,,,
1992-03,421.00M,,421.00M,,,1.826B,,,,1.26B,,,1.052B,4.559B,,,,,,,7.581B,-3.366B,4.215B,,,,,,,724.00M,4.939B,9.498B,,799.00M,,,,799.00M,,799.00M,,,,659.00M,,659.00M,,,1.291B,2.749B,1.255B,,1.255B,,,,,,,722.00M,1.977B,4.726B,,,3.414B,,,,,4.772B,,,
1991-12,302.00M,,302.00M,,,1.953B,,,,1.242B,,,990.00M,4.487B,,,,,,,7.389B,-3.195B,4.194B,,,,,,,694.00M,4.888B,9.375B,,897.00M,,,,897.00M,,897.00M,,,,852.00M,,852.00M,,,1.314B,3.063B,954.00M,,954.00M,196.00M,,196.00M,,,,532.00M,1.682B,4.745B,,,3.287B,,,,,4.63B,,,
1991-09,319.00M,,319.00M,,,1.84B,,,,1.246B,,,1.064B,4.469B,,,,,,,7.313B,-3.267B,4.046B,,,,,,,593.00M,4.639B,9.108B,,812.00M,,,,812.00M,,812.00M,,,,911.00M,,911.00M,,,1.284B,3.007B,1.002B,,1.002B,,,,,,,575.00M,1.577B,4.584B,,,2.584B,,,,,4.524B,,,
1991-06,277.00M,,277.00M,,,1.814B,,,,1.24B,,,1.094B,4.425B,,,,,,,7.07B,-3.091B,3.979B,,,,,,,569.00M,4.548B,8.973B,,799.00M,,,,799.00M,,799.00M,,,,1.128B,,1.128B,,,1.208B,3.135B,794.00M,,794.00M,,,,,,,593.00M,1.387B,4.522B,,,2.756B,,,,,4.451B,,,
1991-03,359.00M,,359.00M,,,1.825B,,,,1.286B,,,1.075B,4.545B,,,,,,,6.797B,-2.929B,3.868B,,,,,,,530.00M,4.398B,8.943B,,784.00M,,,,784.00M,,784.00M,,,,1.128B,,1.128B,,,1.146B,3.058B,798.00M,,798.00M,,,,,,,737.00M,1.535B,4.593B,,,3.049B,,,,,4.35B,,,
1990-12,265.00M,,265.00M,,,1.857B,,,,1.245B,,,1.085B,4.452B,,,,,,,6.559B,-2.781B,3.778B,,,,,,,512.00M,4.29B,8.742B,,889.00M,,,,889.00M,,889.00M,,,,995.00M,,995.00M,,,1.164B,3.048B,792.00M,,792.00M,203.00M,,203.00M,,,,442.00M,1.437B,4.485B,,,2.933B,,,,,4.257B,,,
1990-09,249.00M,,249.00M,,,1.841B,,,,1.237B,,,1.067B,4.394B,,,,,,,6.501B,-2.868B,3.633B,,,,,,,441.00M,4.074B,8.468B,,822.00M,,,,822.00M,,822.00M,,,,982.00M,,982.00M,,,1.268B,3.072B,781.00M,,781.00M,,,,,,,457.00M,1.238B,4.31B,,,2.849B,,,,,4.158B,,,
1990-06,323.00M,,323.00M,,,1.815B,,,,1.151B,,,875.00M,4.164B,,,,,,,6.274B,-2.701B,3.573B,,,,,,,456.00M,4.029B,8.193B,,754.00M,,,,754.00M,,754.00M,,,,945.00M,,945.00M,,,1.213B,2.912B,775.00M,,775.00M,,,,,,,430.00M,1.205B,4.117B,,,2.822B,,,,,4.076B,,,
1990-03,213.00M,,213.00M,,,1.621B,,,,1.146B,,,969.00M,3.949B,,,,,,,5.987B,-2.545B,3.442B,,,,,,,439.00M,3.881B,7.83B,,737.00M,,,,737.00M,,737.00M,,,,805.00M,,805.00M,,,1.209B,2.751B,767.00M,,767.00M,,,,,,,391.00M,1.158B,3.909B,,,2.661B,,,,,3.921B,,,
1989-12,231.00M,,231.00M,,,1.683B,,,,1.173B,,,828.00M,3.915B,,,,,,,5.753B,-2.416B,3.337B,,,,,,,434.00M,3.771B,7.686B,,789.00M,,,,789.00M,,789.00M,,,,787.00M,,787.00M,,,1.175B,2.751B,755.00M,,755.00M,183.00M,,183.00M,,,,194.00M,1.132B,3.883B,,,2.534B,,,,,3.803B,,,
1988-12,340.00M,,340.00M,,,1.40B,,,,1.144B,,,496.00M,3.38B,,,,,,,4.979B,-2.125B,2.854B,,,,,,,476.00M,3.33B,6.71B,,,,,,,,,,,,1.038B,,1.038B,,,1.653B,2.691B,343.00M,,343.00M,155.00M,,155.00M,,,,146.00M,644.00M,3.335B,,,2.135B,,,,,3.375B,,,
1987-12,258.00M,,258.00M,,,1.101B,,,,909.00M,,,439.00M,2.707B,,,,,,,4.04B,-1.711B,2.329B,,,,,,,285.00M,2.614B,5.321B,,,,,,,,,,,,380.00M,,380.00M,,,1.288B,1.668B,344.00M,,344.00M,137.00M,,137.00M,,,,164.00M,645.00M,2.313B,,,1.777B,,,,,3.008B,,,
1986-12,185.00M,,185.00M,,,851.00M,,,,819.00M,,,384.00M,2.239B,,,,,,,3.649B,-1.509B,2.14B,,,,,,,303.00M,2.443B,4.682B,,,,,,,,,,,,718.00M,,718.00M,,,653.00M,1.371B,334.00M,,334.00M,110.00M,,110.00M,,,,113.00M,557.00M,1.928B,,,1.552B,,,,,2.754B,,,
1985-12,176.00M,,176.00M,,,813.00M,,,,801.00M,,,319.00M,2.109B,,,,,,,3.262B,-1.281B,1.981B,,,,,,,280.00M,2.261B,4.37B,,,,,,,,,,,,291.00M,,291.00M,,,894.00M,1.185B,705.00M,,705.00M,100.00M,,100.00M,,,,96.00M,901.00M,2.086B,,,1.44B,,,,,2.284B,,,
1984-12,168.00M,,168.00M,,,817.00M,,,,937.00M,,,281.00M,2.203B,,,,,,,2.798B,-1.056B,1.742B,,,,,,,249.00M,1.991B,4.194B,,,,,,,,,,,,111.00M,,111.00M,,,1.091B,1.202B,531.00M,,531.00M,102.00M,,102.00M,,,,81.00M,714.00M,1.916B,,,1.444B,,,,,2.278B,,,
