,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-04,1.736B,1.736B,1.035B,701.00M,,,420.00M,24.00M,,2.00M,,,,,444.00M,257.00M,,,,2.00M,,214.00M,68.00M,146.00M,,,,146.00M,144.64M,328.00M,71.00M,257.00M,,0.36,0.00,,0.3567,0.36,,0.35,0.00,,0.3467,0.35,,409.00M,414.00M,0.17,,,
2005-01,2.223B,2.223B,1.321B,902.00M,,,491.00M,24.00M,,2.00M,,,,,515.00M,387.00M,,,,2.00M,,344.00M,109.00M,235.00M,,,,235.00M,233.63M,455.00M,68.00M,387.00M,,0.57,0.00,,0.5667,0.57,,0.57,0.00,,0.5667,0.57,,409.00M,414.00M,0.17,,,
2004-10,2.091B,2.091B,1.245B,846.00M,,,443.00M,20.00M,,-2.00M,,,,,463.00M,383.00M,,,,-2.00M,,337.00M,107.00M,230.00M,,,,230.00M,231.36M,451.00M,68.00M,383.00M,,0.56,0.00,,0.5633,0.56,,0.56,0.00,,0.5633,0.56,,409.00M,412.00M,0.17,,,
2004-07,1.433B,1.433B,872.00M,561.00M,,,384.00M,28.00M,,-16.00M,,,,,414.00M,147.00M,,,,-16.00M,,86.00M,27.00M,59.00M,,,,59.00M,69.98M,212.00M,65.00M,147.00M,,0.15,0.00,,0.1772,0.15,,0.14,0.00,,0.1666,0.14,,403.00M,412.00M,0.1575,,,
2004-04,1.667B,1.667B,995.00M,672.00M,,,419.00M,23.00M,,13.00M,,,,,442.00M,230.00M,,,,13.00M,,203.00M,61.00M,142.00M,,,,142.00M,132.91M,298.00M,68.00M,230.00M,,0.35,0.00,,0.3279,0.35,,0.34,0.00,,0.3180,0.34,,411.00M,413.00M,0.1575,,,
2004-01,2.10B,2.10B,1.212B,888.00M,,,476.00M,21.00M,,-2.00M,,,,,497.00M,391.00M,,,,-2.00M,,347.00M,112.00M,235.00M,,,,235.00M,236.35M,455.00M,64.00M,391.00M,,0.57,0.00,,0.5733,0.57,,0.57,0.00,,0.5733,0.57,,411.00M,412.00M,0.1575,,,
2003-10,1.909B,1.909B,1.108B,801.00M,,,416.00M,21.00M,,-10.00M,,,,,437.00M,364.00M,,,,-10.00M,,311.00M,100.00M,211.00M,,,,211.00M,217.78M,427.00M,63.00M,364.00M,,0.51,0.00,,0.5265,0.51,,0.51,0.00,,0.5265,0.51,,411.00M,412.00M,0.1575,,,
2003-07,1.455B,1.455B,858.00M,597.00M,,,451.00M,26.00M,,,,,,,477.00M,120.00M,,,,,,110.00M,36.00M,74.00M,,0.00,,74.00M,74.00M,183.00M,63.00M,120.00M,,0.18,0.01,0.00,0.18,0.19,,0.18,0.01,0.00,0.18,0.19,,411.00M,411.00M,0.1575,,,
2003-04,1.60B,1.60B,920.00M,680.00M,,,400.00M,23.00M,,-22.00M,,,,,423.00M,257.00M,,,,-22.00M,,190.00M,61.00M,129.00M,,,,129.00M,143.94M,326.00M,69.00M,257.00M,,0.31,0.00,,0.3463,0.31,,0.31,0.00,,0.3463,0.31,,411.00M,411.00M,0.1575,,,
2003-01,1.918B,1.918B,1.056B,862.00M,,,457.00M,21.00M,,,,,,,478.00M,384.00M,,,,,,339.00M,108.00M,231.00M,,,,231.00M,231.00M,440.00M,56.00M,384.00M,,0.56,0.00,,0.56,0.56,,0.56,0.00,,0.56,0.56,,411.00M,411.00M,0.1575,,,
2002-10,1.705B,1.705B,971.00M,734.00M,,,378.00M,19.00M,,-7.00M,,,,,397.00M,337.00M,,,,-7.00M,,285.00M,93.00M,192.00M,,-31.00M,,161.00M,196.72M,392.00M,55.00M,337.00M,,0.47,-0.08,0.00,0.4815,0.39,,0.47,-0.08,-0.0756,0.4815,0.39,,410.00M,411.00M,0.1575,,,
2002-07,1.223B,1.223B,686.00M,537.00M,,,246.00M,25.00M,,-138.00M,,,,,271.00M,266.00M,,,,-138.00M,,84.00M,29.00M,55.00M,,,,55.00M,145.36M,356.00M,90.00M,266.00M,,0.14,0.00,,0.3604,0.14,,0.14,0.00,,0.3598,0.14,,410.00M,411.00M,0.1575,,,
2002-04,1.371B,1.371B,782.00M,589.00M,,,382.00M,17.00M,,,,,,,399.00M,190.00M,,,,,,146.00M,50.00M,96.00M,,,,96.00M,96.00M,272.00M,82.00M,190.00M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,410.00M,411.00M,0.1575,,,
2002-01,1.81B,1.81B,1.004B,806.00M,,,405.00M,17.00M,,-31.00M,,,,,422.00M,384.00M,,,,-31.00M,,307.00M,104.00M,203.00M,,,,203.00M,223.50M,458.00M,74.00M,384.00M,,0.49,0.00,,0.5400,0.49,,0.49,0.00,,0.5399,0.49,,410.00M,411.00M,0.1575,,,
2001-10,1.729B,1.729B,971.00M,758.00M,,,391.00M,18.00M,,-35.00M,,,,,409.00M,349.00M,,,,-35.00M,,261.00M,90.00M,171.00M,,,,171.00M,193.93M,422.00M,73.00M,349.00M,,0.42,0.00,,0.4759,0.42,,0.42,0.00,,0.4758,0.42,,410.00M,411.00M,0.1575,,,
2001-07,1.49B,1.49B,998.00M,492.00M,,,488.00M,19.00M,,21.00M,,,,,376.00M,116.00M,,,,21.00M,,80.00M,28.00M,52.00M,,,,52.00M,38.35M,194.00M,78.00M,116.00M,,0.13,0.00,,0.0968,0.13,,0.13,0.00,,0.0969,0.13,,411.00M,412.00M,0.225,,,
2001-04,1.439B,1.439B,603.00M,836.00M,,,496.00M,15.00M,,-24.00M,,,,,575.00M,261.00M,,,,-24.00M,,185.00M,63.00M,122.00M,,,,122.00M,137.83M,325.00M,64.00M,261.00M,,0.30,0.00,,0.3386,0.30,,0.30,0.00,,0.3385,0.30,,410.00M,411.00M,0.225,,,
2001-01,1.957B,1.957B,800.00M,1.157B,,,588.00M,15.00M,,-32.00M,,,,,665.00M,492.00M,,,,-32.00M,,411.00M,140.00M,271.00M,,,,271.00M,292.10M,554.00M,62.00M,492.00M,,0.65,0.00,,0.7008,0.65,,0.65,0.00,,0.7004,0.65,,415.00M,419.00M,0.225,,,
2000-10,1.778B,1.778B,745.00M,1.033B,,,565.00M,14.00M,,-29.00M,,,,,641.00M,392.00M,,,,-29.00M,,311.00M,107.00M,204.00M,,,,204.00M,223.02M,454.00M,62.00M,392.00M,,0.48,0.00,,0.5252,0.48,,0.47,0.00,,0.5141,0.47,,421.00M,431.00M,0.225,,,
2000-07,1.388B,1.388B,975.00M,413.00M,,,422.00M,19.00M,,32.00M,,,,,307.00M,106.00M,,,,32.00M,,89.00M,30.00M,59.00M,,,,59.00M,37.79M,168.00M,62.00M,106.00M,,0.14,0.00,,0.0897,0.14,,0.1328,0.00,,0.0837,0.1328,,422.00M,432.00M,0.225,,,
2000-04,1.394B,1.394B,598.00M,796.00M,,,457.00M,14.00M,,-15.00M,,,,,537.00M,259.00M,,,,-15.00M,,200.00M,61.00M,139.00M,,,,139.00M,149.42M,325.00M,66.00M,259.00M,,0.33,0.00,,0.3546,0.33,,0.32,0.00,,0.3441,0.32,,423.00M,432.00M,0.225,,,
2000-01,1.916B,1.916B,787.00M,1.129B,,,551.00M,15.00M,,-29.00M,,,,,627.00M,502.00M,,,,-29.00M,,423.00M,142.00M,281.00M,,,,281.00M,300.26M,563.00M,61.00M,502.00M,,0.66,0.00,,0.7051,0.66,,0.65,0.00,,0.6947,0.65,,427.00M,431.00M,0.225,,,
1999-10,1.768B,1.768B,747.00M,1.021B,,,511.00M,16.00M,,-21.00M,,,,,589.00M,432.00M,,,,-21.00M,,365.00M,130.00M,235.00M,,,,235.00M,248.52M,494.00M,62.00M,432.00M,,0.55,0.00,,0.5815,0.55,,0.54,0.00,,0.5712,0.54,,429.00M,433.00M,0.225,,,
1999-07,1.498B,1.498B,1.027B,471.00M,,,416.00M,18.00M,,-1.00M,,,,,301.00M,170.00M,,,,-1.00M,,124.00M,45.00M,79.00M,,,,79.00M,79.64M,234.00M,64.00M,170.00M,,0.18,0.00,,0.1815,0.18,,0.18,0.00,,0.1815,0.18,,435.00M,436.00M,0.225,,,
1999-04,1.492B,1.492B,662.00M,830.00M,,,439.00M,15.00M,,-24.00M,,,,,522.00M,308.00M,,,,-24.00M,,241.00M,79.00M,162.00M,,,,162.00M,178.13M,376.00M,68.00M,308.00M,,0.37,0.00,,0.4068,0.37,,0.37,0.00,,0.4064,0.37,,438.00M,443.00M,0.225,,,
1999-01,1.832B,1.832B,792.00M,1.04B,,,585.00M,17.00M,,-3.00M,,,,,666.00M,374.00M,,,,-3.00M,,329.00M,110.00M,219.00M,,,,219.00M,221.00M,438.00M,64.00M,374.00M,,0.49,0.00,,0.4945,0.49,,0.49,0.00,,0.4944,0.49,,444.00M,449.00M,0.225,,,
1998-10,1.804B,1.804B,771.00M,1.033B,,,498.00M,16.00M,,-13.00M,,,,,573.00M,460.00M,,,,-13.00M,,403.00M,139.00M,264.00M,,,,264.00M,272.52M,519.00M,59.00M,460.00M,,0.59,0.00,,0.6090,0.59,,0.58,0.00,,0.5988,0.58,,448.00M,454.00M,0.21,,,
1998-07,1.299B,1.299B,603.00M,696.00M,,,348.00M,19.00M,,56.00M,,,,,427.00M,269.00M,,,,56.00M,,275.00M,93.00M,182.00M,0.00,0.00,,182.00M,144.94M,329.00M,60.00M,269.00M,,0.41,0.00,0.00,0.3273,0.41,,0.40,0.00,-0.0001,0.3184,0.40,,448.00M,454.00M,0.21,,,
1998-04,1.572B,1.572B,730.00M,842.00M,,,481.00M,18.00M,,-282.00M,,,,,544.00M,298.00M,,,,-282.00M,,-29.00M,7.00M,-36.00M,-54.00M,,,-90.00M,133.20M,366.00M,68.00M,298.00M,,-0.08,-0.12,,0.2935,-0.20,,-0.08,-0.12,,0.2935,-0.20,,453.00M,453.00M,0.21,,,
1998-01,2.012B,2.012B,889.00M,1.123B,,,539.00M,16.00M,,-16.00M,,,,,621.00M,502.00M,,,,-16.00M,,443.00M,152.00M,291.00M,20.00M,-11.00M,,300.00M,301.51M,568.00M,65.00M,502.00M,,0.64,0.04,0.00,0.6630,0.66,,0.63,0.04,-0.0241,0.6527,0.65,,457.00M,462.00M,0.21,,,
1997-10,1.813B,1.813B,825.00M,988.00M,,,451.00M,17.00M,,-25.00M,,,,,536.00M,452.00M,,,,-25.00M,,384.00M,132.00M,252.00M,15.00M,,,267.00M,268.41M,520.00M,68.00M,452.00M,,0.55,0.03,,0.5858,0.58,,0.54,0.03,,0.5754,0.57,,458.00M,464.00M,0.1925,,,
1997-07,1.363B,1.363B,692.00M,671.00M,,,321.00M,19.00M,,20.00M,,,,,404.00M,267.00M,,,,20.00M,,238.00M,83.00M,155.00M,37.00M,,,192.00M,141.97M,331.00M,64.00M,267.00M,,0.33,0.09,,0.3017,0.42,,0.33,0.08,,0.3020,0.42,,460.00M,466.00M,0.1925,,,
1997-04,1.541B,1.541B,719.00M,822.00M,,,419.00M,16.00M,,-39.00M,,,,,525.00M,297.00M,,,,-39.00M,,215.00M,73.00M,142.00M,15.00M,,,157.00M,167.76M,387.00M,59.00M,297.00M,,0.31,0.03,,0.3655,0.34,,0.30,0.03,,0.3548,0.33,,464.00M,470.00M,0.1925,,,
1997-01,2.317B,2.317B,1.146B,1.171B,,,579.00M,19.00M,,-29.00M,,,,,679.00M,492.00M,,,,-29.00M,,418.00M,142.00M,276.00M,,,,276.00M,295.15M,573.00M,81.00M,492.00M,,0.59,0.00,,0.6311,0.59,,0.59,0.00,,0.6311,0.59,,466.00M,466.00M,0.1925,,,
1996-10,2.052B,2.052B,1.033B,1.019B,,,479.00M,18.00M,,-254.00M,,,,,576.00M,443.00M,,,,-254.00M,,160.00M,72.00M,88.00M,,,,88.00M,240.40M,522.00M,79.00M,443.00M,,0.18,0.00,,0.4898,0.18,,0.18,0.00,,0.4898,0.18,,492.00M,492.00M,0.1725,,,
1996-07,286.00M,286.00M,16.00M,270.00M,,,91.00M,15.00M,,60.00M,,,,,145.00M,125.00M,,,,60.00M,,144.00M,47.00M,97.00M,,,,181.00M,56.58M,164.00M,39.00M,125.00M,,0.19,0.17,,0.1088,0.36,,0.18,0.16,,0.1020,0.34,,498.00M,518.00M,0.1725,,,
1996-04,1.831B,1.831B,979.00M,852.00M,,,483.00M,20.00M,,-21.00M,,,,,585.00M,267.00M,,,,-21.00M,,217.00M,72.00M,145.00M,,,,145.00M,159.03M,349.00M,82.00M,267.00M,,0.29,0.00,,0.3182,0.29,,0.29,0.00,,0.3182,0.29,,498.00M,498.00M,0.1725,,,
1996-01,2.217B,2.217B,1.166B,1.051B,,,514.00M,21.00M,,-20.00M,,,,,616.00M,435.00M,,,,-20.00M,,384.00M,126.00M,258.00M,,,,258.00M,271.44M,516.00M,81.00M,435.00M,,0.52,0.00,,0.5470,0.52,,0.52,0.00,,0.5470,0.52,,498.00M,498.00M,0.1725,,,
1995-10,1.99B,1.99B,1.065B,925.00M,,,441.00M,20.00M,,-24.00M,,,,,539.00M,386.00M,,,,-24.00M,,327.00M,108.00M,219.00M,,,,219.00M,235.07M,464.00M,78.00M,386.00M,,0.44,0.00,,0.4723,0.44,,0.44,0.00,,0.4723,0.44,,498.00M,498.00M,0.155,,,
1995-07,1.602B,1.602B,897.00M,705.00M,,,375.00M,26.00M,,36.00M,,,,,485.00M,220.00M,,,,36.00M,,206.00M,63.00M,143.00M,,,,143.00M,118.01M,304.00M,84.00M,220.00M,,0.28,0.00,,0.2298,0.28,,0.28,0.00,,0.2298,0.28,,498.00M,498.00M,0.155,,,
1995-04,1.744B,1.744B,978.00M,766.00M,,,437.00M,20.00M,,-20.00M,,,,,524.00M,242.00M,,,,-20.00M,,190.00M,63.00M,127.00M,,,,127.00M,140.37M,309.00M,67.00M,242.00M,,0.26,0.00,,0.2868,0.26,,0.26,0.00,,0.2868,0.26,,498.00M,498.00M,0.155,,,
1995-01,2.04B,2.04B,1.096B,944.00M,,,470.00M,22.00M,,-10.00M,,,,,572.00M,372.00M,,,,-10.00M,,348.00M,117.00M,231.00M,,,,231.00M,237.64M,452.00M,80.00M,372.00M,,0.47,0.00,,0.4833,0.47,,0.47,0.00,,0.4833,0.47,,498.00M,498.00M,0.155,,,
1994-10,1.864B,1.864B,1.025B,839.00M,,,417.00M,19.00M,,-17.00M,,,,,499.00M,340.00M,,,,-17.00M,,297.00M,100.00M,197.00M,,,,197.00M,208.28M,403.00M,63.00M,340.00M,,0.40,0.00,,0.4226,0.40,,0.40,0.00,,0.4226,0.40,,498.00M,498.00M,0.14,,,
1994-07,1.465B,1.465B,808.00M,657.00M,,,371.00M,,,5.00M,,,,,433.00M,224.00M,,,,5.00M,,203.00M,61.00M,142.00M,,,,142.00M,138.50M,286.00M,62.00M,224.00M,,0.285,0.00,,0.2780,0.285,,0.285,0.00,,0.2780,0.285,,498.72M,503.09M,0.14,,,
1994-04,1.568B,1.568B,878.00M,690.00M,,,415.00M,,,-9.00M,,,,,483.00M,207.00M,,,,-9.00M,,183.00M,64.00M,119.00M,,,,119.00M,124.85M,275.00M,68.00M,207.00M,,0.24,0.00,,0.2518,0.24,,0.24,0.00,,0.2518,0.24,,495.83M,495.83M,0.14,,,
1994-01,1.894B,1.894B,1.04B,854.00M,,,447.00M,,,-13.00M,,,,,511.00M,343.00M,,,,-13.00M,,316.00M,113.00M,203.00M,,,,203.00M,211.35M,407.00M,64.00M,343.00M,,0.41,0.00,,0.4269,0.41,,0.41,0.00,,0.4269,0.41,,495.12M,495.12M,0.14,,,
1993-10,1.763B,1.763B,997.00M,766.00M,,,411.00M,,,-14.00M,,,,,472.00M,294.00M,,,,-14.00M,,261.00M,95.00M,166.00M,,,,166.00M,174.90M,355.00M,61.00M,294.00M,,0.33,0.00,,0.3477,0.33,,0.33,0.00,,0.3477,0.33,,503.03M,503.03M,0.125,,,
1993-07,1.470B,1.470B,826.50M,643.20M,,,741.10M,,,353.70M,,,,,809.70M,-166.50M,,,,353.70M,,162.10M,54.10M,108.00M,,,,-141.00M,-127.65M,-97.90M,68.60M,-166.50M,,0.21,-0.50,,-0.2638,-0.29,,0.21,-0.50,,-0.2638,-0.29,,497.33M,497.33M,0.125,,,
1993-04,1.632B,1.632B,950.40M,681.70M,,,417.50M,,,-12.00M,,,,,478.30M,203.40M,,,,-12.00M,,173.20M,64.70M,108.50M,,,,108.50M,116.02M,264.20M,60.80M,203.40M,,0.22,0.00,,0.2352,0.22,,0.22,0.00,,0.2352,0.22,,493.18M,493.18M,0.125,,,
1993-01,1.789B,1.789B,1.018B,771.20M,,,405.40M,,,-348.50M,,,,,462.10M,309.10M,,,,-348.50M,,-62.60M,53.30M,-115.90M,,,,-115.90M,93.20M,365.80M,56.70M,309.10M,,-0.23,0.00,,0.1850,-0.23,,-0.23,0.00,,0.1850,-0.23,,503.91M,503.91M,0.11,,,
1992-10,1.696B,1.696B,991.00M,704.50M,,,372.80M,,,-6.80M,,,,,428.90M,275.60M,,,,-6.80M,,247.00M,90.40M,156.60M,,,,156.60M,160.91M,331.70M,56.10M,275.60M,,0.31,0.00,,0.3185,0.31,,0.31,0.00,,0.3185,0.31,,505.16M,505.16M,0.0975,,,
1992-07,1.433B,1.433B,843.50M,589.90M,,,335.80M,,,-2.00M,,,,,397.00M,192.90M,,,,-2.00M,,170.40M,61.20M,109.20M,,,,109.20M,110.48M,254.10M,61.20M,192.90M,,0.22,0.00,,0.2226,0.22,,0.22,0.00,,0.2226,0.22,,496.91M,496.91M,0.0975,,,
1992-04,1.536B,1.536B,933.60M,602.60M,,,371.40M,,,-2.20M,,,,,424.50M,178.10M,,,,-2.20M,,150.30M,58.80M,91.50M,,,-0.10M,91.50M,92.84M,231.20M,53.10M,178.10M,,0.18,0.00,,0.1826,0.18,,0.18,0.00,,0.1826,0.18,,508.33M,508.33M,0.0975,,,
1992-01,1.746B,1.746B,1.026B,719.90M,,,370.30M,,,-3.70M,,,,,422.10M,297.80M,,,,-3.70M,,264.20M,103.60M,160.60M,,,-0.30M,160.60M,162.85M,349.60M,51.80M,297.80M,,0.32,0.00,,0.3245,0.32,,0.32,0.00,,0.3245,0.32,,501.88M,501.88M,0.0875,,,
1991-10,1.547B,1.547B,943.40M,603.80M,,,314.50M,,,1.20M,,,,,364.60M,239.20M,,,,1.20M,,214.40M,85.20M,129.20M,,,,129.20M,128.48M,289.30M,50.10M,239.20M,,0.26,0.00,,0.2585,0.26,,0.26,0.00,,0.2585,0.26,,496.92M,496.92M,0.0725,,,
1991-07,1.348B,1.348B,826.30M,521.90M,,,304.80M,,,5.00M,,,,,357.00M,164.90M,,,,5.00M,,132.80M,48.10M,84.70M,,,-1.60M,84.70M,81.51M,217.10M,52.20M,164.90M,,0.16,0.00,,0.1539,0.16,,0.16,0.00,,0.1539,0.16,,524.34M,524.34M,0.0725,,,
1991-04,1.491B,1.491B,930.50M,560.30M,,,346.90M,,,-4.40M,,,,,398.00M,162.30M,,,,-4.40M,,132.50M,56.10M,76.40M,,,-1.70M,76.40M,79.04M,213.40M,51.10M,162.30M,,0.15,0.00,,0.1552,0.15,,0.15,0.00,,0.1552,0.15,,509.33M,509.33M,0.0725,,,
1991-01,1.771B,1.771B,1.101B,670.30M,,,358.80M,,,-8.30M,,,,,410.80M,259.50M,,,,-8.30M,,223.30M,88.00M,135.30M,,,-2.40M,135.30M,140.33M,311.50M,52.00M,259.50M,,0.27,0.00,,0.2800,0.27,,0.27,0.00,,0.2800,0.27,,501.11M,501.11M,0.0725,,,
1990-10,1.594B,1.594B,1.029B,564.90M,,,308.90M,,,-1.40M,,,,,362.20M,202.70M,,,,-1.40M,,178.80M,73.70M,105.10M,,,-1.50M,105.10M,105.94M,256.00M,53.30M,202.70M,,0.21,0.00,,0.2117,0.21,,0.21,0.00,,0.2117,0.21,,500.48M,500.48M,0.0625,,,
1990-07,1.440B,1.440B,959.60M,480.70M,,,324.50M,,,-345.60M,,,,,343.70M,137.00M,,,,-345.60M,,-232.80M,5.60M,-238.40M,,,-1.20M,-238.40M,-31.04M,156.20M,19.20M,137.00M,,-0.46,0.00,,-0.0590,-0.46,,-0.46,0.00,,-0.0590,-0.46,,517.08M,517.08M,0.0625,,,
1990-04,1.520B,1.520B,988.70M,530.90M,,,344.60M,,,-4.40M,,,,,405.20M,125.70M,,,,-4.40M,,96.60M,42.00M,54.60M,,,-1.40M,54.60M,57.24M,191.20M,65.50M,125.70M,,0.11,0.00,,0.1153,0.11,,0.11,0.00,,0.1153,0.11,,496.36M,496.36M,0.0625,,,
1990-01,1.722B,1.722B,1.115B,607.60M,,,345.20M,,,-2.60M,,,,,403.30M,204.30M,,,,-2.60M,,174.00M,68.80M,105.20M,,,-1.60M,105.20M,106.77M,262.40M,55.00M,204.30M,,0.21,0.00,,0.2131,0.21,,0.21,0.00,,0.2131,0.21,,500.95M,500.95M,0.0625,,,
1989-10,1.524B,1.524B,996.00M,527.50M,,,310.70M,,,9.00M,,,,,371.90M,155.60M,,,,9.00M,,141.60M,58.60M,83.00M,,,-1.50M,83.00M,77.60M,216.80M,61.20M,155.60M,,0.16,0.00,,0.1496,0.16,,0.16,0.00,,0.1496,0.16,,518.75M,518.75M,0.0575,,,
1989-07,1.302B,1.302B,,,,,,,,,,,,,,-3.818B,,,,,,,,-194.70M,,,,-194.70M,,-3.818B,,-3.818B,,,,,,,,,,,,,,518.81M,518.81M,0.0575,,,
1989-04,1.454B,1.454B,,,,,,,,,,,,,,1.454B,,,,,,,,43.50M,,,,43.50M,,1.454B,,1.454B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,516.16M,516.16M,0.0575,,,
1989-01,1.582B,1.582B,,,,,,,,,,,,,,1.582B,,,,,,,,94.90M,,,,94.90M,,1.582B,,1.582B,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,517.27M,517.27M,0.0575,,,
1988-10,1.333B,1.333B,,,,,,,,,,,,,,1.333B,,,,,,,,69.40M,,,,69.40M,,1.333B,,1.333B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,517.27M,517.27M,0.0525,,,
1988-07,1.146B,1.146B,,,,,,,,,,,,,,-3.259B,,,,,,,,72.20M,,,,72.20M,,-3.259B,,-3.259B,,,,,,,,,,,,,,516.16M,516.16M,0.0525,,,
1988-04,1.207B,1.207B,,,,,,,,,,,,,,1.207B,,,,,,,,22.40M,,,,22.40M,,1.207B,,1.207B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,516.12M,516.12M,0.0525,,,
1988-01,1.336B,1.336B,,,,,,,,,,,,,,1.336B,,,,,,,,84.60M,,,,84.60M,,1.336B,,1.336B,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,520.02M,520.02M,0.0525,,,
1987-10,1.179B,1.179B,,,,,,,,,,,,,,1.179B,,,,,,,,62.40M,,,,62.40M,,1.179B,,1.179B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,520.10M,520.10M,0.045,,,
1987-07,998.80M,998.80M,,,,,,,,,,,,,,-3.067B,,,,,,,,70.10M,,,,70.10M,,-3.067B,,-3.067B,,,,,,,,,,,,,,497.55M,497.55M,0.045,,,
1987-04,1.128B,1.128B,,,,,,,,,,,,,,1.128B,,,,,,,,48.10M,,,,48.10M,,1.128B,,1.128B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,519.34M,519.34M,0.045,,,
1987-01,1.249B,1.249B,,,,,,,,,,,,,,1.249B,,,,,,,,70.40M,,,,70.40M,,1.249B,,1.249B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,519.34M,519.34M,0.045,,,
1986-10,1.115B,1.115B,,,,,,,,,,,,,,1.115B,,,,,,,,58.70M,,,,58.70M,,1.115B,,1.115B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,519.09M,519.09M,0.0413,,,
1986-07,1.030B,1.030B,,,,,,,,,,,,,,-2.932B,,,,,,,,47.70M,,,,47.70M,,-2.932B,,-2.932B,,,,,,,,,,,,,,495.93M,495.93M,0.0413,,,
1986-04,1.09B,1.09B,,,,,,,,,,,,,,1.09B,,,,,,,,51.00M,,,,51.00M,,1.09B,,1.09B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,517.40M,517.40M,0.0413,,,
1986-01,1.180B,1.180B,,,,,,,,,,,,,,1.180B,,,,,,,,69.70M,,,,69.70M,,1.180B,,1.180B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,517.22M,517.22M,0.0413,,,
1985-10,1.078B,1.078B,,,,,,,,,,,,,,1.078B,,,,,,,,51.80M,,,,51.80M,,1.078B,,1.078B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,517.15M,517.15M,,,,
1985-07,906.60M,906.60M,,,,,,,,,,,,,,-2.716B,,,,,,,,39.40M,,,,39.40M,,-2.716B,,-2.716B,,,,,,,,,,,,,,517.15M,517.15M,,,,
1985-04,1.020B,1.020B,,,,,,,,,,,,,,1.020B,,,,,,,,51.60M,,,,51.60M,,1.020B,,1.020B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,516.70M,516.70M,,,,
1985-01,1.063B,1.063B,,,,,,,,,,,,,,1.063B,,,,,,,,60.20M,,,,60.20M,,1.063B,,1.063B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,516.38M,516.38M,,,,
1984-10,998.90M,998.90M,,,,,,,,,,,,,,998.90M,,,,,,,,46.60M,,,,46.60M,,998.90M,,998.90M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,516.32M,516.32M,,,,
1984-07,837.90M,837.90M,,,,,,,,,,,,,,-2.460B,,,,,,,,41.60M,,,,41.60M,,-2.460B,,-2.460B,,,,,,,,,,,,,,516.26M,516.26M,,,,
1984-04,933.60M,933.60M,,,,,,,,,,,,,,933.60M,,,,,,,,46.70M,,,,46.70M,,933.60M,,933.60M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,516.21M,516.21M,,,,
1984-01,1.000B,1.000B,,,,,,,,,,,,,,1.000B,,,,,,,,56.00M,,,,56.00M,,1.000B,,1.000B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,516.21M,516.21M,,,,
