,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,5.631B,5.631B,1.148B,4.483B,,1.611B,996.30M,,320.00M,,,,,2.608B,1.875B,,,,514.70M,,2.343B,724.30M,1.619B,,-39.60M,1.619B,1.398B,2.223B,348.20M,1.875B,,0.73,0.00,0.6305,0.73,,0.73,0.00,0.6310,0.73,,2.223B,2.232B,0.37,,,
2003-12,5.627B,5.627B,1.227B,4.400B,,1.633B,906.30M,,-60.90M,,,,,2.539B,1.861B,,,,-54.90M,,1.761B,365.70M,1.395B,0.00,-37.20M,1.395B,1.443B,2.181B,320.60M,1.861B,,0.65,-0.0021,0.6717,0.54,,0.64,-0.0021,0.6616,0.54,,2.225B,2.236B,0.37,,,
2003-09,5.762B,5.762B,1.083B,4.679B,,1.464B,776.50M,,36.20M,,,,,2.240B,2.438B,,,,219.60M,,2.605B,739.80M,1.865B,-6.70M,-39.10M,1.858B,1.839B,2.765B,326.70M,2.438B,,0.83,0.00,0.8184,0.83,,0.83,0.00,0.8185,0.82,,2.237B,2.254B,0.37,,,
2003-06,5.525B,5.525B,988.50M,4.537B,,1.590B,786.40M,36.90M,211.70M,,,,,2.413B,2.124B,,,,399.10M,,2.470B,685.30M,1.784B,82.50M,-40.60M,1.867B,1.632B,2.464B,340.80M,2.124B,,0.80,0.04,0.7318,0.83,,0.79,0.04,0.7224,0.83,,2.241B,2.261B,0.36,,,
2003-03,5.571B,5.571B,1.080B,4.491B,,1.514B,810.70M,31.30M,43.10M,,,,,2.356B,2.135B,,,,140.40M,,2.216B,671.20M,1.545B,165.40M,-51.80M,1.710B,1.515B,2.462B,326.10M,2.135B,,0.69,0.07,0.6766,0.76,,0.68,0.07,0.6667,0.76,,2.244B,2.262B,0.36,,,
2002-12,6.058B,6.058B,1.128B,4.930B,,1.538B,838.80M,30.20M,-4.80M,,,,,2.407B,2.523B,,,,89.20M,,2.577B,762.70M,1.814B,75.90M,-44.50M,1.890B,1.817B,2.830B,307.60M,2.523B,,0.81,0.04,0.8115,0.85,,0.80,0.04,0.8015,0.84,,2.247B,2.265B,0.36,,,
2002-09,5.426B,5.426B,973.20M,4.453B,,1.408B,676.90M,29.90M,35.60M,,,,,2.114B,2.338B,,,,224.30M,,2.510B,743.00M,1.767B,116.70M,-59.10M,1.884B,1.742B,2.535B,196.40M,2.338B,,0.79,0.05,0.7789,0.84,,0.78,0.05,0.7689,0.83,,2.250B,2.266B,0.36,,,
2002-06,12.81B,12.81B,8.293B,4.517B,,1.478B,631.20M,51.00M,5.60M,,,,,2.16B,2.357B,,,,195.80M,,2.501B,750.30M,1.751B,,-59.90M,1.751B,1.747B,2.722B,365.10M,2.357B,,0.77,0.00,0.7683,0.77,,0.77,0.00,0.7683,0.77,,2.263B,2.283B,0.35,,,
2002-03,12.17B,12.17B,7.981B,4.189B,,1.465B,530.30M,51.40M,55.20M,,,,,2.046B,2.142B,,,,227.00M,,2.322B,696.50M,1.625B,,-50.70M,1.625B,1.586B,2.504B,362.10M,2.142B,,0.72,0.00,0.7030,0.72,,0.71,0.00,0.6932,0.71,,2.271B,2.295B,0.35,,,
2001-12,-13.96B,-13.96B,-17.71B,3.750B,,1.032B,716.40M,-105.70M,44.30M,,,,,1.642B,2.108B,,,,172.40M,,2.204B,571.70M,1.632B,,-72.30M,1.861B,1.599B,2.149B,40.40M,2.108B,,0.72,0.10,0.7056,0.82,,0.71,0.10,0.6957,0.81,,2.275B,2.302B,0.35,,,
2001-09,11.92B,11.92B,7.083B,4.837B,,1.525B,590.30M,83.70M,61.00M,,,,,2.199B,2.638B,,,,225.10M,,2.783B,834.90M,1.948B,,-72.30M,1.948B,1.905B,3.006B,368.50M,2.638B,,0.85,0.00,0.8313,0.85,,0.84,0.00,0.8215,0.84,,2.283B,2.312B,0.35,,,
2001-06,11.89B,11.89B,7.205B,4.688B,,1.637B,602.40M,80.50M,64.30M,,,,,2.320B,2.368B,,,,279.30M,,2.594B,778.10M,1.815B,,-60.70M,1.815B,1.770B,2.731B,363.40M,2.368B,,0.79,0.00,0.7704,0.79,,0.78,0.00,0.7607,0.78,,2.291B,2.328B,0.34,,,
2001-03,11.35B,11.35B,7.046B,4.299B,,1.506B,547.40M,80.60M,84.30M,,,,,2.134B,2.164B,,,,262.90M,,2.368B,710.20M,1.657B,,-85.20M,1.657B,1.598B,2.525B,360.20M,2.164B,,0.72,0.00,0.6944,0.72,,0.71,0.00,0.6848,0.71,,2.304B,2.346B,0.34,,,
2000-12,11.47B,11.47B,6.017B,5.451B,,1.774B,662.30M,,194.80M,,,,,3.071B,2.379B,,,,194.80M,,2.511B,746.70M,1.764B,,-77.90M,1.764B,1.628B,3.014B,315.70M,2.379B,,0.77,0.00,0.7107,0.77,,0.75,0.00,0.6920,0.75,,2.308B,2.358B,0.34,,,
2000-09,10.57B,10.57B,5.710B,4.857B,,1.513B,609.80M,,301.80M,,,,,2.445B,2.412B,,,,301.80M,,2.642B,805.70M,1.836B,,-74.80M,1.836B,1.626B,2.734B,322.80M,2.412B,,0.80,0.00,0.7088,0.80,,0.78,0.00,0.6905,0.78,,2.299B,2.343B,0.34,,,
2000-06,9.477B,9.477B,4.847B,4.630B,,1.464B,548.00M,,282.20M,,,,,2.330B,2.300B,,,,282.20M,,2.477B,755.60M,1.722B,,-95.80M,1.722B,1.526B,2.619B,318.90M,2.300B,,0.74,0.00,0.6547,0.74,,0.73,0.00,0.6464,0.73,,2.300B,2.346B,0.29,,,
2000-03,8.851B,8.851B,4.592B,4.259B,,1.417B,523.60M,,278.40M,,,,,2.261B,1.998B,,,,278.40M,,2.194B,694.40M,1.500B,,-60.20M,1.500B,1.309B,2.318B,319.90M,1.998B,,0.65,0.00,0.5679,0.65,,0.63,0.00,0.5495,0.63,,2.318B,2.363B,0.29,,,
1999-12,8.963B,8.963B,4.123B,4.841B,,1.589B,627.80M,,237.60M,,,,,2.816B,2.025B,,,,237.60M,,2.211B,638.20M,1.573B,,-53.80M,1.573B,1.404B,2.624B,599.70M,2.025B,,0.68,0.00,0.6071,0.68,,0.66,0.00,0.5891,0.66,,2.318B,2.383B,0.29,,,
1999-09,8.196B,8.196B,4.158B,4.037B,,1.273B,516.00M,,317.00M,,,,,2.074B,1.963B,,,,317.00M,,2.235B,695.10M,1.540B,,-61.80M,1.540B,1.321B,2.249B,285.30M,1.963B,,0.65,0.00,0.5578,0.65,,0.64,0.00,0.5492,0.64,,2.369B,2.406B,0.29,,,
1999-06,8.018B,8.018B,4.156B,3.862B,,1.184B,482.70M,,553.70M,,,,,1.959B,1.903B,,,,553.70M,,2.331B,852.50M,1.478B,,-57.30M,1.478B,1.127B,2.195B,292.30M,1.903B,,0.63,0.00,0.4810,0.63,,0.61,0.00,0.4645,0.61,,2.358B,2.414B,0.27,,,
1999-03,7.537B,7.537B,3.953B,3.584B,,1.154B,441.80M,,260.60M,,,,,1.881B,1.703B,,,,260.60M,,1.843B,543.20M,1.300B,,-49.50M,1.300B,1.116B,1.988B,284.90M,1.703B,,0.55,0.00,0.4722,0.55,,0.54,0.00,0.4642,0.54,,2.362B,2.425B,0.27,,,
1998-12,7.531B,7.531B,3.594B,3.937B,,1.370B,541.20M,,327.40M,,,,,2.164B,1.774B,,,,327.40M,,1.956B,555.80M,1.401B,,-77.60M,1.401B,1.166B,2.026B,252.10M,1.774B,,0.60,0.00,0.4994,0.60,,0.58,0.00,0.4828,0.58,,2.330B,2.412B,0.27,,,
1998-09,6.838B,6.838B,3.544B,3.294B,,1.087B,450.40M,,1.120B,,,,,1.622B,1.672B,,,,1.120B,,2.715B,1.348B,1.367B,,-19.60M,1.367B,695.30M,2.339B,666.50M,1.672B,,0.57,0.00,0.2899,0.57,,0.56,0.00,0.2848,0.56,,2.398B,2.441B,0.225,,,
1998-06,6.470B,6.470B,3.383B,3.087B,,1.059B,441.00M,,352.50M,,,,,1.548B,1.539B,,,,352.50M,,1.826B,510.00M,1.316B,,-22.70M,1.316B,1.062B,1.587B,48.20M,1.539B,,0.56,0.00,0.4519,0.56,,0.54,0.00,0.4358,0.54,,2.350B,2.437B,0.225,,,
1998-03,6.059B,6.059B,3.236B,2.823B,,995.10M,388.50M,,325.60M,,,,,1.432B,1.391B,,,,325.60M,,1.635B,470.80M,1.164B,,-42.50M,1.164B,932.55M,1.440B,48.30M,1.391B,,0.49,0.00,0.3924,0.49,,0.48,0.00,0.3844,0.48,,2.376B,2.426B,0.225,,,
1997-12,6.232B,6.232B,2.232B,4.000B,,1.146B,493.90M,,-199.40M,,,,,2.332B,1.668B,,,,-199.40M,,1.672B,429.50M,1.242B,,,1.242B,1.390B,2.361B,692.50M,1.668B,,0.52,0.00,0.5821,0.52,,0.51,0.00,0.5709,0.51,,2.387B,2.432B,0.225,,,
1997-09,5.928B,5.928B,2.991B,2.937B,,1.048B,424.70M,,354.30M,,,,,1.522B,1.415B,,,,354.30M,,1.695B,497.70M,1.197B,,-40.60M,1.197B,946.94M,1.464B,48.50M,1.415B,,0.50,0.00,0.3955,0.50,,0.49,0.00,0.3876,0.49,,2.394B,2.443B,0.225,,,
1997-06,5.909B,5.909B,2.944B,2.965B,,1.044B,396.40M,,217.10M,,,,,1.489B,1.476B,,,,217.10M,,1.632B,477.90M,1.154B,,-29.90M,1.154B,1.001B,1.524B,48.30M,1.476B,,0.48,0.00,0.4162,0.48,,0.47,0.00,0.4075,0.47,,2.405B,2.456B,0.21,,,
1997-03,5.568B,5.568B,2.786B,2.782B,,1.061B,368.60M,,226.50M,,,,,1.477B,1.304B,,,,226.50M,,1.463B,443.10M,1.020B,,-42.60M,1.020B,862.38M,1.352B,47.80M,1.304B,,0.42,0.00,0.3550,0.42,,0.41,0.00,0.3465,0.41,,2.429B,2.489B,0.21,,,
1996-12,5.406B,5.406B,1.743B,3.663B,,1.139B,423.30M,,224.50M,,,,,2.345B,1.318B,,,,224.50M,,1.47B,426.50M,1.044B,,-37.30M,1.044B,884.14M,2.101B,782.90M,1.318B,,0.43,0.00,0.3643,0.43,,0.42,0.00,0.3558,0.42,,2.427B,2.484B,0.20,,,
1996-09,4.983B,4.983B,2.328B,2.655B,,941.80M,366.80M,,212.20M,,,,,1.359B,1.296B,,,,212.20M,,1.437B,435.50M,1.002B,,-35.00M,1.002B,853.99M,1.346B,50.00M,1.296B,,0.42,0.00,0.3580,0.42,,0.41,0.00,0.3495,0.41,,2.385B,2.444B,0.20,,,
1996-06,4.909B,4.909B,2.284B,2.625B,,946.20M,347.70M,,185.80M,,,,,1.341B,1.284B,,,,185.80M,,1.394B,422.30M,972.10M,,-42.50M,972.10M,842.57M,1.331B,47.20M,1.284B,,0.40,0.00,0.3467,0.40,,0.39,0.00,0.3380,0.39,,2.430B,2.493B,0.17,,,
1996-03,4.530B,4.530B,2.233B,2.297B,,814.30M,349.50M,,216.40M,,,,,1.211B,1.086B,,,,216.40M,,1.239B,375.20M,863.80M,,-29.40M,863.80M,712.93M,1.134B,47.00M,1.086B,,0.35,0.00,0.2889,0.35,,0.35,0.00,0.2889,0.35,,2.468B,2.468B,0.17,,,
1995-12,4.557B,4.557B,1.459B,3.098B,,911.00M,381.00M,,167.00M,,,,,2.008B,1.09B,,,,167.00M,,1.213B,355.10M,857.80M,,-13.30M,857.80M,739.69M,1.806B,716.30M,1.09B,,0.35,0.00,0.3019,0.35,,0.32,0.00,0.2766,0.32,,2.457B,2.724B,0.17,,,
1995-09,4.171B,4.171B,1.858B,2.313B,,767.20M,332.50M,,129.90M,,,,,1.147B,1.166B,,,,129.90M,,1.247B,385.10M,861.90M,,-25.70M,861.90M,772.12M,1.213B,47.70M,1.166B,,0.35,0.00,0.3135,0.35,,0.35,0.00,0.3135,0.35,,2.463B,2.463B,0.17,,,
1995-06,4.136B,4.136B,1.746B,2.390B,,849.60M,329.70M,,135.60M,,,,,1.227B,1.163B,,,,135.60M,,1.242B,383.40M,858.10M,,-34.10M,858.10M,764.38M,1.210B,47.40M,1.163B,,0.35,0.00,0.3118,0.35,,0.35,0.00,0.3118,0.35,,2.452B,2.452B,0.15,,,
1995-03,3.817B,3.817B,1.726B,2.091B,,770.00M,288.20M,,151.60M,,,,,1.106B,985.10M,,,,151.60M,,1.096B,338.40M,757.40M,,-18.80M,757.40M,652.62M,1.033B,47.80M,985.10M,,0.31,0.00,0.2671,0.31,,0.31,0.00,0.2671,0.31,,2.443B,2.443B,0.15,,,
1994-12,3.872B,3.872B,845.00M,3.026B,,874.20M,365.00M,,90.30M,,,,,1.983B,1.044B,,,,90.30M,,1.086B,312.80M,772.90M,,-20.90M,772.90M,708.62M,1.787B,743.60M,1.044B,,0.30,0.00,0.2749,0.30,,0.285,0.00,0.2613,0.285,,2.561B,2.713B,0.15,,,
1994-09,3.792B,3.792B,1.452B,2.340B,,820.70M,308.40M,,55.50M,,,,,1.174B,1.166B,,,,55.50M,,1.172B,386.90M,784.80M,,-19.10M,784.80M,747.63M,1.211B,44.70M,1.166B,,0.31,0.00,0.2953,0.31,,0.31,0.00,0.2953,0.31,,2.532B,2.532B,0.15,,,
1994-06,3.792B,3.792B,1.529B,2.263B,,726.70M,290.90M,,19.60M,,,,,1.062B,1.202B,,,,19.60M,,1.146B,381.40M,764.10M,,-40.90M,764.10M,751.03M,1.246B,43.90M,1.202B,,0.31,0.00,0.3047,0.31,,0.31,0.00,0.3047,0.31,,2.465B,2.465B,0.14,,,
1994-03,3.514B,3.514B,1.456B,2.059B,,755.90M,266.30M,,62.50M,,,,,1.066B,993.20M,,,,62.50M,,1.012B,337.10M,675.20M,,-12.50M,675.20M,633.51M,1.036B,43.30M,993.20M,,0.27,0.00,0.2533,0.27,,0.27,0.00,0.2533,0.27,,2.501B,2.501B,0.14,,,
1993-12,3.001B,3.001B,452.20M,2.549B,,-815.50M,,,-681.30M,,,,,772.00M,1.777B,,,,-681.30M,,960.30M,286.10M,674.20M,,,674.20M,1.153B,1.777B,,1.777B,,0.28,0.00,0.4764,0.28,,0.27,0.00,0.4587,0.27,,2.436B,2.535B,0.14,,,
1993-09,2.544B,2.544B,538.60M,2.006B,,999.10M,,,-0.30M,,,,,999.10M,1.006B,,,,-0.30M,,1.006B,300.40M,705.70M,,,705.70M,705.91M,1.006B,,1.006B,,0.31,0.00,0.3101,0.31,,0.31,0.00,0.3101,0.31,,2.276B,2.276B,0.14,,,
1993-06,2.574B,2.574B,583.50M,1.990B,,1.778B,,,10.60M,,,,,1.778B,212.40M,,,,10.60M,,223.00M,50.40M,172.60M,,,172.60M,164.40M,212.40M,,212.40M,,0.08,0.00,0.0762,0.08,,0.08,0.00,0.0762,0.08,,2.158B,2.158B,0.125,,,
1993-03,2.380B,2.380B,536.70M,1.843B,,952.60M,,,23.10M,,,,,952.60M,890.30M,,,,23.10M,,913.40M,299.60M,613.80M,,,613.80M,598.28M,890.30M,,890.30M,,0.27,0.00,0.2632,0.27,,0.27,0.00,0.2632,0.27,,2.273B,2.273B,0.125,,,
1992-12,2.601B,2.601B,266.10M,2.335B,,1.179B,,,-3.80M,,,,,1.501B,834.40M,,,,-3.80M,,830.60M,250.60M,580.00M,,,117.60M,582.65M,834.40M,,834.40M,,0.25,0.00,0.2512,0.25,,0.24,0.00,0.2412,0.24,,2.289B,2.289B,0.125,,,
1992-09,2.464B,2.464B,515.70M,1.949B,,1.056B,,,34.30M,,,,,1.056B,892.80M,,,,34.30M,,927.10M,282.60M,644.50M,,,644.50M,620.66M,892.80M,,892.80M,,0.28,0.00,0.2696,0.28,,0.28,0.00,0.2696,0.28,,2.302B,2.302B,0.125,,,
1992-06,2.374B,2.374B,526.80M,1.847B,,915.20M,,,17.70M,,,,,915.20M,931.70M,,,,17.70M,,949.40M,296.00M,653.40M,,,653.40M,641.22M,931.70M,,931.70M,,0.29,0.00,0.2846,0.29,,0.29,0.00,0.2846,0.29,,2.253B,2.253B,0.115,,,
1992-03,2.223B,2.223B,466.10M,1.757B,,924.70M,,,23.90M,,,,,924.70M,832.60M,,,,23.90M,,856.50M,287.80M,568.70M,,,568.70M,552.83M,832.60M,,832.60M,,0.25,0.00,0.2430,0.25,,0.25,0.00,0.2430,0.25,,2.275B,2.275B,0.1150,,,
1991-12,2.314B,2.314B,251.70M,2.062B,,1.014B,,,6.20M,,,,,1.278B,784.50M,,,,6.20M,,790.70M,260.90M,529.80M,,,529.80M,525.65M,784.50M,,784.50M,,0.23,0.00,0.2282,0.23,,0.22,0.00,0.2183,0.22,,2.303B,2.405B,0.1050,,,
1991-09,2.117B,2.117B,486.20M,1.631B,,840.80M,,,19.20M,,,,,840.80M,790.40M,,,,19.20M,,809.60M,257.20M,552.40M,,,552.40M,539.30M,790.40M,,790.40M,,0.24,0.00,0.2343,0.24,,0.24,0.00,0.2343,0.24,,2.302B,2.302B,0.1050,,,
1991-06,2.122B,2.122B,406.10M,1.716B,,836.00M,,,11.70M,,,,,902.00M,814.30M,,,,11.70M,,826.00M,270.00M,556.00M,,,556.00M,548.12M,880.30M,66.00M,814.30M,,0.24,0.00,0.2366,0.24,,0.24,0.00,0.2366,0.24,,2.317B,2.317B,0.0934,,,
1991-03,2.049B,2.049B,395.10M,1.654B,,867.30M,,,19.90M,,,,,933.30M,720.50M,,,,19.90M,,740.40M,256.90M,483.50M,,,483.50M,470.50M,786.50M,66.00M,720.50M,,0.21,0.00,0.2044,0.21,,0.21,0.00,0.2044,0.21,,2.302B,2.302B,0.0934,,,
1990-12,2.099B,2.099B,231.30M,1.868B,,936.00M,,,-14.90M,,,,,1.19B,678.10M,,,,-14.90M,,663.20M,221.00M,442.20M,,,442.20M,452.13M,678.10M,,678.10M,,0.19,0.00,0.1943,0.19,,0.19,0.00,0.1943,0.19,,2.327B,2.327B,0.0934,,,
1990-09,1.914B,1.914B,443.30M,1.471B,,797.20M,,,17.20M,,,,,797.20M,673.80M,,,,17.20M,,691.00M,226.00M,465.00M,,,465.00M,453.43M,673.80M,,673.80M,,0.20,0.00,0.1950,0.20,,0.20,0.00,0.1950,0.20,,2.325B,2.325B,0.0934,,,
1990-06,1.899B,1.899B,440.60M,1.459B,,761.90M,,,21.80M,,,,,761.90M,696.80M,,,,21.80M,,718.60M,248.40M,470.20M,,,470.20M,455.94M,696.80M,,696.80M,,0.20,0.00,0.1939,0.20,,0.20,0.00,0.1939,0.20,,2.351B,2.351B,0.0751,,,
1990-03,1.758B,1.758B,408.90M,1.350B,,746.80M,,,23.30M,,,,,746.80M,602.70M,,,,23.30M,,626.00M,222.20M,403.80M,,,403.80M,388.77M,602.70M,,602.70M,,0.17,0.00,0.1637,0.17,,0.17,0.00,0.1637,0.17,,2.375B,2.375B,0.0751,,,
1989-12,1.761B,1.761B,185.10M,1.576B,,801.90M,,,4.60M,,,,,1.024B,552.40M,,,,4.60M,,557.00M,189.10M,367.90M,,,367.90M,364.86M,552.40M,,552.40M,,0.15,0.00,0.1488,0.15,,0.15,0.00,0.1488,0.15,,2.448B,2.448B,0.0751,,,
1989-09,1.633B,1.633B,395.80M,1.237B,,657.40M,,,12.50M,,,,,657.40M,579.60M,,,,12.50M,,592.10M,201.60M,390.50M,,,390.50M,382.26M,579.60M,,579.60M,,0.17,0.00,0.1664,0.17,,0.17,0.00,0.1664,0.17,,2.297B,2.297B,0.0751,,,
1989-06,1.585B,1.585B,,,,,,,,,,,,,1.585B,,,,,,,,396.60M,,,396.60M,,1.585B,,1.585B,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,2.386B,2.386B,0.0684,,,
1989-03,1.571B,1.571B,,,,,,,,,,,,,1.571B,,,,,,,,340.40M,,,340.40M,,1.571B,,1.571B,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,2.383B,2.383B,0.0684,,,
1988-12,1.534B,1.534B,,,,,,,,,,,,,-2.539B,,,,,,,,307.30M,,,307.30M,,-2.539B,,-2.539B,,,,,,,,,,,,2.383B,2.383B,0.0617,,,
1988-09,1.469B,1.469B,,,,,,,,,,,,,1.469B,,,,,,,,311.80M,,,311.80M,,1.469B,,1.469B,,0.13,0.00,0.13,0.13,,0.13,0.00,0.13,0.13,,2.366B,2.366B,0.0617,,,
1988-06,1.500B,1.500B,,,,,,,,,,,,,1.500B,,,,,,,,316.30M,,,316.30M,,1.500B,,1.500B,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,2.366B,2.366B,0.0534,,,
1988-03,1.437B,1.437B,,,,,,,,,,,,,1.437B,,,,,,,,271.40M,,,271.40M,,1.437B,,1.437B,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,2.465B,2.465B,0.0534,,,
1987-12,1.394B,1.394B,,,,,,,,,,,,,-2.298B,,,,,,,,232.40M,,,232.40M,,-2.298B,,-2.298B,,,,,,,,,,,,2.369B,2.369B,0.0445,,,
1987-09,1.306B,1.306B,,,,,,,,,,,,,1.306B,,,,,,,,237.60M,,,237.60M,,1.306B,,1.306B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,2.465B,2.465B,0.0445,,,
1987-06,1.249B,1.249B,,,,,,,,,,,,,1.249B,,,,,,,,235.10M,,,235.10M,,1.249B,,1.249B,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,2.465B,2.465B,0.0306,,,
1987-03,1.111B,1.111B,,,,,,,,,,,,,1.111B,,,,,,,,201.30M,,,201.30M,,1.111B,,1.111B,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,2.460B,2.460B,0.0306,,,
1986-12,1.149B,1.149B,,,,,,,,,,,,,-1.939B,,,,,,,,171.80M,,,171.80M,,-1.939B,,-1.939B,,,,,,,,,,,,2.460B,2.460B,0.0306,,,
1986-09,1.054B,1.054B,,,,,,,,,,,,,1.054B,,,,,,,,173.00M,,,173.00M,,1.054B,,1.054B,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.540B,2.540B,0.0306,,,
1986-06,1.005B,1.005B,,,,,,,,,,,,,1.005B,,,,,,,,173.20M,,,173.20M,,1.005B,,1.005B,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.540B,2.540B,0.0250,,,
1986-03,921.10M,921.10M,,,,,,,,,,,,,921.10M,,,,,,,,157.80M,,,157.80M,,921.10M,,921.10M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,2.531B,2.531B,0.0250,,,
1985-12,958.00M,958.00M,,,,,,,,,,,,,-1.750B,,,,,,,,134.40M,,,134.40M,,-1.750B,,-1.750B,,,,,,,,,,,,2.531B,2.531B,0.0250,,,
1985-09,855.80M,855.80M,,,,,,,,,,,,,855.80M,,,,,,,,136.00M,,,136.00M,,855.80M,,855.80M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,2.592B,2.592B,,,,
1985-06,877.40M,877.40M,,,,,,,,,,,,,877.40M,,,,,,,,137.90M,,,137.90M,,877.40M,,877.40M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,2.588B,2.588B,,,,
1985-03,856.30M,856.30M,,,,,,,,,,,,,856.30M,,,,,,,,131.50M,,,131.50M,,856.30M,,856.30M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.590B,2.590B,,,,
1984-12,962.00M,962.00M,,,,,,,,,,,,,-1.801B,,,,,,,,115.60M,,,115.60M,,-1.801B,,-1.801B,,,,,,,,,,,,2.601B,2.601B,,,,
1984-09,857.90M,857.90M,,,,,,,,,,,,,857.90M,,,,,,,,120.90M,,,120.90M,,857.90M,,857.90M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.666B,2.666B,,,,
1984-06,891.30M,891.30M,,,,,,,,,,,,,891.30M,,,,,,,,131.40M,,,131.40M,,891.30M,,891.30M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.667B,2.667B,,,,
1984-03,848.60M,848.60M,,,,,,,,,,,,,848.60M,,,,,,,,125.10M,,,125.10M,,848.60M,,848.60M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,2.667B,2.667B,,,,
