,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-06,,70.20M,,70.20M,,600.60M,460.30M,,,12.80M,1.144B,,,,,,1.058B,-358.90M,699.10M,,274.70M,274.70M,,42.40M,1.016B,2.160B,,445.90M,,445.90M,,445.90M,,,13.60M,,13.60M,,,152.30M,611.80M,543.20M,,543.20M,86.50M,86.50M,,,,629.70M,1.242B,,,776.40M,,,,918.60M,,,
1991-03,,53.00M,,53.00M,,592.10M,461.50M,,,15.30M,1.122B,,,,,,978.90M,-303.50M,675.40M,,264.50M,264.50M,,44.90M,984.80M,2.107B,,468.60M,,468.60M,,468.60M,,,27.10M,,27.10M,,,146.50M,642.20M,506.60M,,506.60M,79.10M,79.10M,,,0.10M,585.80M,1.228B,,,738.50M,,,,878.70M,,,
1990-12,,54.10M,,54.10M,,618.70M,482.00M,,,15.80M,1.171B,,,,,,968.20M,-303.50M,664.70M,,266.20M,266.20M,,44.80M,975.70M,2.146B,,467.40M,,467.40M,,467.40M,,,19.30M,,19.30M,,,140.50M,627.20M,595.00M,,595.00M,74.10M,74.10M,,,0.10M,669.20M,1.296B,,,713.60M,,,,849.90M,,,
1990-09,,59.50M,,59.50M,,617.70M,473.70M,,,15.80M,1.167B,,,,,,949.10M,-303.50M,645.60M,,268.00M,268.00M,,48.20M,961.80M,2.128B,,491.10M,,491.10M,,491.10M,,,10.70M,,10.70M,,,156.90M,658.70M,589.80M,,589.80M,69.10M,69.10M,,,,658.90M,1.318B,,,677.70M,,,,810.90M,,,
1990-06,,56.00M,,56.00M,,548.30M,431.90M,,,11.10M,1.047B,,,,,,939.40M,-303.50M,635.90M,,269.80M,269.80M,,39.10M,944.80M,1.992B,,418.70M,,418.70M,,418.70M,,,15.10M,,15.10M,,,139.90M,573.70M,583.50M,,583.50M,64.10M,64.10M,,,,647.60M,1.221B,,,644.70M,,,,770.80M,,,
1990-03,,47.60M,,47.60M,,563.90M,440.20M,,,11.90M,1.064B,,,,,,867.30M,-253.40M,613.90M,,271.60M,271.60M,,42.70M,928.20M,1.992B,,443.70M,,443.70M,,443.70M,,,5.40M,,5.40M,,,156.70M,605.80M,606.80M,,606.80M,44.90M,44.90M,,,,651.70M,1.258B,,,610.70M,,,,734.30M,,,
1989-12,,50.70M,,50.70M,,566.10M,472.00M,,,12.90M,1.102B,,,,,,845.80M,-253.40M,592.40M,,273.30M,273.30M,,40.80M,906.50M,2.008B,,443.10M,,443.10M,,443.10M,,,32.40M,,32.40M,,,132.10M,607.60M,648.90M,,648.90M,43.30M,43.30M,,,0.20M,692.40M,1.30B,,,586.80M,,,,708.20M,,,
1989-09,,52.60M,,52.60M,,566.70M,458.40M,,,11.80M,1.090B,,,,,,820.30M,-253.40M,566.90M,,275.10M,275.10M,,34.50M,876.50M,1.966B,,454.70M,,454.70M,,454.70M,,,8.80M,,8.80M,,,134.60M,598.10M,649.30M,,649.30M,41.80M,41.80M,,,0.10M,691.20M,1.289B,,,557.60M,,,,676.70M,,,
1989-06,,55.50M,,55.50M,,518.10M,436.80M,,,11.30M,1.022B,,,,,,795.40M,-253.40M,542.00M,,276.90M,276.90M,,28.80M,847.70M,1.869B,,409.60M,,409.60M,,409.60M,,,19.60M,,19.60M,,,137.10M,566.30M,620.20M,,620.20M,40.30M,40.30M,,,-0.10M,660.40M,1.227B,,,530.10M,,,,642.70M,,,
1988-06,,35.60M,,35.60M,,336.70M,285.40M,,,8.90M,666.60M,,,,,,527.60M,-194.40M,333.20M,,,,,21.10M,354.30M,1.021B,,,,,,,,,43.10M,,43.10M,,,313.20M,356.30M,93.30M,,93.30M,27.70M,27.70M,,,,121.00M,477.30M,,,437.60M,,,,543.60M,,,
1987-06,,37.70M,,37.70M,,263.50M,247.70M,,,7.80M,556.70M,,,,,,434.10M,-164.70M,269.40M,,,,,34.20M,303.60M,860.30M,,,,,,,,,9.70M,,9.70M,,,265.10M,274.80M,98.50M,,98.50M,31.00M,31.00M,,,,129.50M,404.30M,,,364.20M,,,,456.00M,,,
1986-06,,74.00M,,74.00M,,224.20M,210.30M,,,5.40M,513.90M,,,,,,356.50M,-133.00M,223.50M,,,,,43.90M,267.40M,781.30M,,,,,,,,,5.00M,,5.00M,,,247.90M,252.90M,105.20M,,105.20M,25.50M,25.50M,,,-0.10M,130.60M,383.50M,,,313.90M,,,,397.80M,,,
1985-06,,70.70M,,70.70M,,188.00M,188.30M,,,4.00M,451.00M,,,,,,295.70M,-106.60M,189.10M,,,,,41.00M,230.10M,681.10M,,,,,,,,,4.50M,,4.50M,,,208.60M,213.10M,108.70M,,108.70M,20.20M,20.20M,,,,128.90M,342.00M,,,265.00M,,,,339.10M,,,
1984-06,,46.00M,,46.00M,,163.90M,161.30M,,,3.80M,375.00M,,,,,,263.60M,-90.20M,173.40M,,,,,51.30M,224.70M,599.70M,,,,,,,,,5.30M,,5.30M,,,184.10M,189.40M,102.50M,,102.50M,14.80M,14.80M,,,,117.30M,306.70M,,,222.80M,,,,293.00M,,,
