,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-03,2.900B,2.900B,1.871B,1.029B,-2.612M,102.84M,,,,412.88M,668.00M,361.03M,,,,-2.612M,,122.59M,41.11M,81.48M,6.88M,80.07M,2.066M,,168.43M,83.22M,558.68M,197.66M,361.03M,,0.27,0.02,0.00,,0.2758,0.56,,0.27,0.02,0.2662,,0.2758,0.56,,300.77M,300.77M,0.10,,,
2002-12,644.90M,644.90M,151.36M,493.55M,29.78M,31.96M,,,,96.52M,126.47M,367.08M,,,,29.78M,,154.56M,65.50M,89.06M,-152.05M,,,,-62.99M,71.20M,643.87M,276.79M,367.08M,,0.30,-0.50,,,0.2402,-0.20,,0.29,-0.50,,,0.2310,-0.20,,298.82M,303.02M,0.16,,,
2002-09,1.917B,1.917B,845.27M,1.072B,7.567M,94.56M,,,,385.48M,640.18M,431.33M,,,,7.567M,,254.72M,92.84M,161.89M,-4.286B,,-0.008M,,-4.124B,157.08M,598.33M,167.00M,431.33M,,0.54,-14.34,,,0.5239,-13.80,,0.54,-14.34,,,0.5240,-13.80,,298.79M,299.63M,0.16,,,
2002-06,1.798B,1.798B,866.32M,932.11M,-3.827M,119.13M,,,,372.50M,642.71M,289.40M,,,,-3.827M,,131.87M,45.74M,86.12M,149.52M,,-0.007M,,235.64M,88.62M,446.81M,157.41M,289.40M,,0.29,0.50,,,0.2984,0.79,,0.29,0.50,,,0.2984,0.79,,297.70M,298.47M,0.375,,,
2002-03,2.079B,2.079B,1.091B,988.11M,-7.229M,98.50M,,,,389.84M,637.11M,350.99M,,,,-7.229M,,212.35M,67.72M,144.64M,-113.16M,,0.241M,,31.48M,149.56M,506.47M,155.47M,350.99M,,0.49,-0.38,,,0.5066,0.11,,0.49,-0.38,,,0.5066,0.11,,296.22M,297.17M,0.375,,,
2001-12,2.008B,2.008B,1.071B,936.68M,3.817M,98.41M,,,,554.50M,792.47M,144.21M,,,,3.817M,,4.966M,-14.46M,19.43M,27.15M,0.00,,0.566M,46.58M,17.14M,313.18M,168.97M,144.21M,,-0.25,0.40,0.00,,-0.2578,0.15,,-0.25,0.39,-0.0005,,-0.2578,0.15,,291.98M,294.30M,0.375,,,
2001-09,2.300B,2.300B,1.062B,1.238B,2.012M,142.42M,,,,444.67M,803.38M,434.79M,,,,2.012M,,281.63M,98.56M,183.07M,172.00M,,-13.90M,0.097M,355.07M,181.76M,651.06M,108.80M,434.79M,,0.63,0.59,,,0.6255,1.22,,0.63,0.58,,,0.6255,1.21,,290.32M,292.21M,0.375,,,
2001-06,10.29B,10.29B,8.683B,1.610B,87.28M,142.73M,,,,630.26M,999.33M,610.47M,,,,87.28M,,499.41M,183.04M,316.36M,,-0.047M,-48.00M,0.098M,316.31M,261.07M,838.41M,227.94M,610.47M,,1.09,0.00,0.00,,0.8992,1.09,,1.08,0.00,-0.0002,,0.8911,1.08,,289.74M,292.74M,0.375,,,
2001-03,13.28B,13.28B,11.77B,1.510B,50.42M,139.69M,,,,715.01M,1.050B,459.80M,,,,50.42M,,318.37M,110.15M,208.22M,-7.294M,61.67M,,0.097M,262.59M,175.25M,654.86M,195.05M,459.80M,,0.72,-0.03,0.00,,0.6052,0.91,,0.72,-0.03,0.2125,,0.6064,0.90,,287.34M,290.17M,0.375,,,
2000-12,-9.096B,-9.096B,-9.121B,25.38M,-84.74M,120.43M,,,,464.20M,604.94M,-579.56M,,,,-84.74M,,-696.24M,-152.77M,-543.47M,,,,0.097M,-325.46M,-477.33M,-385.89M,193.67M,-579.56M,,-2.44,1.36,,,-2.209,-1.08,,-2.44,1.35,,,-2.209,-1.08,,286.63M,286.63M,0.375,,,
2000-09,9.502B,9.502B,7.703B,1.799B,27.46M,144.32M,,,,585.17M,1.023B,776.26M,,,,27.46M,,617.57M,221.81M,395.77M,-6.704M,,0.161M,0.097M,389.06M,378.17M,1.076B,299.91M,776.26M,,1.38,-0.02,,,1.318,1.36,,1.36,-0.02,,,1.299,1.34,,285.18M,289.60M,0.375,,,
2000-06,5.755B,5.755B,4.328B,1.427B,31.92M,115.04M,,,,564.19M,913.36M,513.95M,,,,31.92M,,346.55M,110.62M,235.93M,-19.45M,,-12.60M,0.098M,223.93M,214.20M,748.06M,231.23M,513.95M,,0.83,-0.07,,0.0262,0.7535,0.79,,0.82,-0.07,,0.0260,0.7442,0.78,,284.24M,286.57M,0.375,,,
2000-03,4.234B,4.234B,3.125B,1.109B,-1.504B,111.50M,,,,-1.054B,-760.80M,1.870B,,,,-1.504B,,189.09M,55.94M,133.15M,,,,0.097M,133.15M,1.192B,2.051B,181.50M,1.870B,,0.47,0.00,,,4.079,0.47,,0.47,0.00,,,4.079,0.47,,293.42M,293.42M,0.375,,,
1999-12,3.963B,3.963B,2.896B,1.067B,1.818B,100.44M,,,,2.304B,2.605B,-1.537B,,,,1.818B,,137.35M,26.82M,110.53M,,,,0.089M,-72.73M,-1.353B,-1.337B,200.00M,-1.537B,,0.39,-0.64,,,-4.757,-0.25,,0.39,-0.64,,,-4.743,-0.25,,284.25M,285.02M,0.375,,,
1999-09,4.947B,4.947B,3.626B,1.321B,12.70M,113.60M,,,,-1.767B,-1.365B,2.686B,,,,12.70M,,2.568B,877.40M,1.690B,,,,0.10M,1.690B,1.682B,2.974B,288.80M,2.686B,,5.92,0.00,,,5.891,5.92,,5.90,0.00,,,5.871,5.90,,285.47M,286.44M,0.375,,,
1999-06,3.658B,3.658B,2.546B,1.112B,11.80M,126.20M,,,,511.10M,857.40M,254.73M,,,,11.80M,,126.30M,51.50M,74.80M,,,,0.10M,74.80M,67.72M,474.83M,220.10M,254.73M,,0.26,0.00,,,0.2354,0.26,,0.26,0.00,,,0.2354,0.26,,287.31M,287.31M,0.375,,,
1999-03,2.643B,2.643B,1.746B,897.00M,11.00M,117.30M,,,,724.50M,1.038B,-141.20M,,,,11.00M,,-266.20M,-56.50M,-209.70M,,,,0.10M,-209.70M,-218.37M,55.20M,196.40M,-141.20M,,-0.74,0.00,,,-0.7706,-0.74,,-0.74,0.00,,,-0.7706,-0.74,,283.51M,283.51M,0.375,,,
1998-12,2.396B,2.396B,1.671B,725.12M,-1.165B,101.23M,,,,-85.38M,204.32M,520.80M,,,,-1.165B,,-778.53M,-236.76M,-541.77M,,,,0.09M,-404.49M,269.00M,709.27M,,520.80M,,-1.42,0.00,,,1.540,-1.42,,-1.42,0.00,,,1.540,-1.42,,273.92M,273.92M,0.375,,,
1998-09,3.466B,3.466B,2.113B,1.352B,19.00M,148.00M,,,,470.30M,885.50M,466.80M,,,,19.00M,,358.40M,106.60M,251.80M,,,,0.10M,251.80M,238.45M,734.00M,,466.80M,,0.87,0.00,,,0.8239,0.87,,0.87,0.00,,,0.8239,0.87,,289.31M,289.31M,0.375,,,
1998-06,2.737B,2.737B,1.540B,1.197B,16.60M,119.40M,,,,647.40M,995.10M,201.50M,,,,16.60M,,84.90M,43.30M,41.60M,,,,0.10M,41.60M,31.64M,429.80M,,201.50M,,0.16,0.00,,,0.1216,0.16,,0.16,0.00,,,0.1216,0.16,,259.38M,259.38M,0.375,,,
1998-03,2.631B,2.631B,1.691B,940.00M,17.50M,109.80M,,,,554.20M,846.30M,93.70M,,,,17.50M,,-25.70M,4.30M,-30.00M,,,,0.10M,-30.00M,-40.50M,276.00M,,93.70M,,-0.11,0.00,,,-0.1484,-0.11,,-0.11,0.00,,,-0.1484,-0.11,,273.64M,273.64M,0.375,,,
1997-12,2.777B,2.777B,1.895B,882.00M,7.00M,186.00M,,,,407.50M,805.00M,77.00M,,,,7.00M,,5.30M,9.20M,-3.90M,,,0.00,0.10M,-3.90M,-8.10M,288.50M,,77.00M,,-0.05,0.00,,,-0.0656,-0.05,,-0.05,0.00,,,-0.0656,-0.05,,268.78M,268.78M,0.375,,,
1997-09,2.159B,2.159B,999.30M,1.159B,25.00M,86.20M,,,,419.70M,696.80M,462.50M,,,,25.00M,,370.10M,126.20M,243.90M,,,,0.10M,243.90M,227.42M,653.40M,,462.50M,,0.93,0.00,,,0.8672,0.93,,0.93,0.00,,,0.8672,0.93,,262.15M,262.15M,0.375,,,
1997-06,1.064B,1.064B,331.90M,732.50M,10.30M,58.30M,,,,287.00M,485.40M,247.10M,,,,10.30M,,172.10M,50.60M,121.50M,,,-0.10M,,121.50M,114.23M,387.20M,,247.10M,,0.52,0.00,,,0.4889,0.52,,0.52,0.00,,,0.4889,0.52,,233.65M,233.65M,0.375,,,
1997-03,878.10M,878.10M,325.00M,553.10M,8.60M,62.50M,,,,196.80M,396.90M,156.20M,,,,8.60M,,80.10M,20.50M,59.60M,,,-2.10M,,59.60M,53.20M,293.80M,,156.20M,,0.26,0.00,,,0.2321,0.26,,0.26,0.00,,,0.2321,0.26,,229.23M,229.23M,0.375,,,
1996-12,908.70M,908.70M,324.00M,584.70M,9.90M,55.20M,,,,232.20M,457.20M,127.50M,,,,9.90M,,51.00M,14.70M,36.30M,,,-5.30M,,36.30M,29.25M,297.30M,,127.50M,,0.17,0.00,,,0.1398,0.17,,0.17,0.00,,,0.1398,0.17,,233.52M,233.52M,0.375,,,
1996-09,1.251B,1.251B,391.30M,859.70M,10.10M,63.30M,,,,215.10M,418.60M,441.10M,,,,10.10M,,367.00M,127.00M,240.00M,,,-5.40M,,240.00M,233.40M,581.30M,,441.10M,,0.98,0.00,,,0.9530,0.98,,0.98,0.00,,,0.9530,0.98,,244.90M,244.90M,0.375,,,
1996-06,1.114B,1.114B,374.80M,739.00M,11.50M,65.30M,,,,250.50M,452.70M,286.30M,,,,11.50M,,215.80M,70.50M,145.30M,,,-5.30M,,145.30M,137.56M,423.20M,,286.30M,,0.58,0.00,,,0.5491,0.58,,0.58,0.00,,,0.5491,0.58,,250.52M,250.52M,0.375,,,
1996-03,823.50M,823.50M,275.80M,547.70M,9.00M,62.60M,,,,306.00M,505.50M,42.20M,,,,9.00M,,-26.60M,-9.90M,-16.70M,,,-6.60M,,-16.70M,-22.35M,179.10M,,42.20M,,-0.07,0.00,,,-0.0937,-0.07,,-0.07,0.00,,,-0.0937,-0.07,,238.57M,238.57M,0.375,,,
1995-12,799.30M,799.30M,254.80M,544.50M,-4.70M,48.10M,,,,273.50M,459.80M,84.70M,,,,-4.70M,,10.00M,5.60M,4.40M,-0.60M,,-6.80M,,3.80M,7.22M,222.90M,,84.70M,,0.01,-0.01,,,0.0213,0.00,,0.01,-0.01,,,0.0213,0.00,,250.43M,250.43M,0.375,,,
1995-09,1.185B,1.185B,319.30M,865.60M,13.90M,62.20M,,,,246.40M,443.80M,421.80M,,,,13.90M,,353.70M,117.80M,235.90M,618.10M,,-6.80M,,854.00M,226.63M,557.00M,,421.80M,,0.95,2.50,,,0.9125,3.45,,0.95,2.50,,,0.9125,3.45,,247.54M,247.54M,0.375,,,
1995-06,989.80M,989.80M,289.30M,700.50M,-8.90M,64.60M,,,,232.60M,416.80M,283.70M,,,,-8.90M,,199.00M,65.70M,133.30M,,,-7.50M,,133.30M,139.26M,403.30M,,283.70M,,0.54,0.00,,,0.5642,0.54,,0.54,0.00,,,0.5642,0.54,,246.85M,246.85M,0.375,,,
1995-03,755.30M,755.30M,249.20M,506.10M,-2.60M,71.00M,,,,209.10M,390.90M,115.20M,,,,-2.60M,,34.20M,10.40M,23.80M,90.60M,,-9.00M,,114.40M,25.61M,226.00M,,115.20M,,0.10,0.37,,,0.1074,0.47,,0.10,0.37,,,0.1074,0.47,,243.40M,243.40M,0.375,,,
1994-12,775.20M,775.20M,301.30M,473.90M,16.10M,60.10M,,,,247.50M,414.90M,59.00M,,,,16.10M,,4.10M,-1.80M,5.90M,4.90M,0.00,-8.60M,,10.80M,-3.76M,166.30M,,59.00M,,0.04,-0.01,0.00,,0.0018,0.03,,0.04,-0.01,0.0003,,0.0018,0.03,,252.91M,252.91M,0.375,,,
1994-09,1.151B,1.151B,313.50M,837.40M,-7.50M,65.20M,,,,204.50M,377.50M,459.90M,,,,-7.50M,,375.10M,132.90M,242.20M,-6.30M,,-8.30M,,235.90M,247.04M,567.70M,,459.90M,,0.96,0.00,,,0.9797,0.96,,0.96,0.00,,,0.9797,0.96,,245.73M,245.73M,0.375,,,
1994-06,1.005B,1.005B,339.40M,665.50M,-6.30M,63.00M,,,,178.50M,367.10M,298.40M,,,,-6.30M,,211.00M,76.70M,134.30M,-7.60M,,-8.40M,,126.70M,138.31M,424.00M,,298.40M,,0.51,0.00,,,0.5261,0.51,,0.51,0.00,,,0.5261,0.51,,248.43M,248.43M,0.375,,,
1994-03,821.60M,821.60M,315.70M,505.90M,-7.50M,63.10M,,,,173.30M,356.20M,149.70M,,,,-7.50M,,64.30M,22.70M,41.60M,-7.50M,-8.20M,-8.30M,,25.90M,46.45M,269.50M,,149.70M,,0.15,-0.03,0.00,,0.1725,0.12,,0.15,-0.03,-0.0380,,0.1725,0.12,,215.83M,215.83M,0.375,,,
1993-12,972.60M,972.60M,,,,,,,,,,972.60M,,,,,,,,28.30M,,,,,28.30M,28.30M,972.60M,,972.60M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,264.60M,264.60M,0.375,,,
1993-09,1.417B,1.417B,,,,,,,,,,1.417B,,,,,,,,260.40M,,,,,260.40M,260.40M,1.417B,,1.417B,,1.00,0.00,,,1.00,1.00,,1.00,0.00,,,1.00,1.00,,260.40M,260.40M,0.375,,,
1993-06,1.068B,1.068B,,,,,,,,,,1.068B,,,,,,,,100.20M,,,,,100.20M,100.20M,1.068B,,1.068B,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,256.92M,256.92M,0.375,,,
1993-03,992.20M,992.20M,,,,,,,,,,992.20M,,,,,,,,27.10M,,,,,27.10M,27.10M,992.20M,,992.20M,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,246.36M,246.36M,0.375,,,
1992-12,1.131B,1.131B,,,,,,,,,,1.131B,,,,,,,,68.50M,,,,,162.70M,68.50M,1.131B,,1.131B,,0.24,0.37,,,0.24,0.61,,0.24,0.37,,,0.24,0.61,,273.32M,273.32M,0.375,,,
1992-09,1.392B,1.392B,,,,,,,,,,1.392B,,,,,,,,230.90M,,,,,230.90M,230.90M,1.392B,,1.392B,,0.90,0.00,,,0.90,0.90,,0.90,0.00,,,0.90,0.90,,256.56M,256.56M,0.375,,,
1992-06,1.098B,1.098B,,,,,,,,,,1.098B,,,,,,,,74.90M,,,,,74.90M,74.90M,1.098B,,1.098B,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,249.67M,249.67M,0.37,,,
1992-03,975.30M,975.30M,,,,,,,,,,975.30M,,,,,,,,-33.90M,,,,,-33.90M,-33.90M,975.30M,,975.30M,,-0.13,0.00,,,-0.13,-0.13,,-0.13,0.00,,,-0.13,-0.13,,260.77M,260.77M,0.37,,,
1991-12,1.095B,1.095B,,,,,,,,,,1.095B,,,,,,,,54.30M,,,,,54.30M,54.30M,1.095B,,1.095B,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,256.30M,256.30M,0.37,,,
1991-09,1.371B,1.371B,,,,,,,,,,1.371B,,,,,,,,223.80M,,,,,223.80M,223.80M,1.371B,,1.371B,,0.88,0.00,,,0.88,0.88,,0.88,0.00,,,0.88,0.88,,254.32M,254.32M,0.37,,,
1991-06,1.060B,1.060B,,,,,,,,,,1.060B,,,,,,,,87.40M,,,,,87.40M,87.40M,1.060B,,1.060B,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,249.71M,249.71M,0.37,,,
1991-03,918.20M,918.20M,,,,,,,,,,918.20M,,,,,,,,51.80M,,,,,51.80M,51.80M,918.20M,,918.20M,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,246.67M,246.67M,0.37,,,
1990-12,1.007B,1.007B,,,,,,,,,,1.007B,,,,,,,,61.60M,,,,,61.60M,61.60M,1.007B,,1.007B,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,255.52M,255.52M,0.37,,,
1990-09,1.279B,1.279B,,,,,,,,,,1.279B,,,,,,,,209.20M,,,,,209.20M,209.20M,1.279B,,1.279B,,0.82,0.00,,,0.82,0.82,,0.82,0.00,,,0.82,0.82,,255.12M,255.12M,0.37,,,
1990-06,1.074B,1.074B,,,,,,,,,,1.074B,,,,,,,,77.50M,,,,,77.50M,77.50M,1.074B,,1.074B,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,250.00M,250.00M,0.37,,,
1990-03,817.90M,817.90M,,,,,,,,,,817.90M,,,,,,,,-8.90M,,,,,-8.90M,-8.90M,817.90M,,817.90M,,-0.04,0.00,,,-0.04,-0.04,,-0.04,0.00,,,-0.04,-0.04,,222.50M,222.50M,0.37,,,
1989-12,891.80M,891.80M,,,,,,,,,,891.80M,,,,,,,,130.40M,,,,,130.40M,130.40M,891.80M,,891.80M,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,251.39M,251.39M,0.37,,,
1989-09,1.142B,1.142B,,,,,,,,,,1.142B,,,,,,,,141.20M,,,,,141.20M,141.20M,1.142B,,1.142B,,0.56,0.00,,,0.56,0.56,,0.56,0.00,,,0.56,0.56,,252.14M,252.14M,0.37,,,
1989-06,950.40M,950.40M,,,,,,,,,,950.40M,,,,,,,,56.70M,,,,,56.70M,,950.40M,,950.40M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,250.48M,250.48M,0.37,,,
1989-03,805.90M,805.90M,,,,,,,,,,805.90M,,,,,,,,85.20M,,,,,85.20M,,805.90M,,805.90M,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,245.78M,245.78M,0.37,,,
1988-12,869.80M,869.80M,,,,,,,,,,869.80M,,,,,,,,47.20M,,,,,47.20M,,869.80M,,869.80M,,,,,,,,,,,,,,,,237.02M,237.02M,0.37,,,
1988-09,1.108B,1.108B,,,,,,,,,,1.108B,,,,,,,,180.30M,,,,,180.30M,,1.108B,,1.108B,,0.76,0.00,,,0.76,0.76,,0.76,0.00,,,0.76,0.76,,236.55M,236.55M,0.37,,,
1988-06,863.00M,863.00M,,,,,,,,,,863.00M,,,,,,,,88.30M,,,,,88.30M,,863.00M,,863.00M,,0.38,0.00,,,0.38,0.38,,0.38,0.00,,,0.38,0.38,,235.32M,235.32M,0.37,,,
1988-03,808.90M,808.90M,,,,,,,,,,808.90M,,,,,,,,79.50M,,,,,79.50M,,808.90M,,808.90M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,234.43M,234.43M,0.36,,,
1987-12,816.20M,816.20M,,,,,,,,,,816.20M,,,,,,,,73.80M,,,,,73.80M,,816.20M,,816.20M,,,,,,,,,,,,,,,,235.32M,235.32M,0.36,,,
1987-09,1.136B,1.136B,,,,,,,,,,1.136B,,,,,,,,203.70M,,,,,203.70M,,1.136B,,1.136B,,0.88,0.00,,,0.88,0.88,,0.88,0.00,,,0.88,0.88,,233.31M,233.31M,0.36,,,
1987-06,899.00M,899.00M,,,,,,,,,,899.00M,,,,,,,,99.70M,,,,,99.70M,,899.00M,,899.00M,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,232.53M,232.53M,0.36,,,
1987-03,777.30M,777.30M,,,,,,,,,,777.30M,,,,,,,,57.80M,,,,,57.80M,,777.30M,,777.30M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,226.69M,226.69M,0.35,,,
1986-12,778.30M,778.30M,,,,,,,,,,778.30M,,,,,,,,89.20M,,,,,89.20M,,778.30M,,778.30M,,,,,,,,,,,,,,,,228.25M,228.25M,0.35,,,
1986-09,1.101B,1.101B,,,,,,,,,,1.101B,,,,,,,,184.80M,,,,,184.80M,,1.101B,,1.101B,,0.83,0.00,,,0.83,0.83,,0.83,0.00,,,0.83,0.83,,224.17M,224.17M,0.35,,,
1986-06,860.70M,860.70M,,,,,,,,,,860.70M,,,,,,,,78.20M,,,,,78.20M,,860.70M,,860.70M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,217.05M,217.05M,0.35,,,
1986-03,795.80M,795.80M,,,,,,,,,,795.80M,,,,,,,,72.70M,,,,,72.70M,,795.80M,,795.80M,,0.34,0.00,,,0.34,0.34,,0.34,0.00,,,0.34,0.34,,216.09M,216.09M,0.33,,,
1985-12,921.70M,921.70M,,,,,,,,,,921.70M,,,,,,,,104.20M,,,,,104.20M,,921.70M,,921.70M,,,,,,,,,,,,,,,,217.05M,217.05M,,,,
1985-09,1.219B,1.219B,,,,,,,,,,1.219B,,,,,,,,179.40M,,,,,179.40M,,1.219B,,1.219B,,0.84,0.00,,,0.84,0.84,,0.84,0.00,,,0.84,0.84,,213.71M,213.71M,,,,
1985-06,1.002B,1.002B,,,,,,,,,,1.002B,,,,,,,,103.80M,,,,,103.80M,,1.002B,,1.002B,,0.50,0.00,,,0.50,0.50,,0.50,0.00,,,0.50,0.50,,207.81M,207.81M,,,,
1985-03,924.90M,924.90M,,,,,,,,,,924.90M,,,,,,,,77.00M,,,,,77.00M,,924.90M,,924.90M,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,207.81M,207.81M,,,,
1984-12,928.00M,928.00M,,,,,,,,,,928.00M,,,,,,,,78.40M,,,,,78.40M,,928.00M,,928.00M,,,,,,,,,,,,,,,,198.92M,198.92M,,,,
1984-09,1.279B,1.279B,,,,,,,,,,1.279B,,,,,,,,150.50M,,,,,150.50M,,1.279B,,1.279B,,0.80,0.00,,,0.80,0.80,,0.80,0.00,,,0.80,0.80,,189.28M,189.28M,,,,
1984-06,1.044B,1.044B,,,,,,,,,,1.044B,,,,,,,,76.30M,,,,,76.30M,,1.044B,,1.044B,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,189.28M,189.28M,,,,
1984-03,930.30M,930.30M,,,,,,,,,,930.30M,,,,,,,,61.10M,,,,,61.10M,,930.30M,,930.30M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,186.90M,186.90M,,,,
