,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2011-03,,12.76B,482.00M,13.24B,11.29B,14.68B,,25.66B,,2.001B,548.00M,,2.549B,4.376B,,1.695B,1.00M,47.52B,,,,,,,40.76B,-26.56B,14.21B,25.41B,3.324B,28.73B,5.38B,10.25B,,,3.076B,-2.00M,65.44B,112.96B,,6.747B,2.531B,9.278B,5.336B,14.61B,,,8.508B,,8.508B,12.82B,12.82B,,-1.00M,40.39B,,21.75B,,21.75B,,3.724B,3.724B,,16.00B,,104.00M,8.329B,49.80B,90.18B,,46.28B,94.59B,100.08B,,,,,-18.12B,22.67B,,AOR,Restated
2010-12,,10.66B,990.00M,11.65B,11.97B,16.60B,,28.22B,,2.018B,432.00M,,2.45B,4.226B,,1.564B,,48.12B,0.00,777.00M,9.414B,26.68B,,3.422B,40.29B,-26.19B,14.10B,25.14B,3.488B,28.62B,5.778B,,10.55B,,3.22B,2.00M,65.34B,113.45B,,7.804B,4.216B,12.02B,10.18B,22.20B,,,6.778B,,6.778B,11.58B,11.58B,,,40.56B,,21.85B,,21.85B,,3.666B,3.666B,,15.98B,,126.00M,8.228B,49.72B,90.28B,,45.42B,92.53B,96.16B,,,,,-18.74B,23.05B,,AOR,Restated
2010-09,,9.859B,1.227B,11.09B,10.90B,13.96B,,24.50B,,2.113B,516.00M,,2.629B,4.661B,,1.596B,1.00M,44.47B,,,,,,,39.94B,-25.93B,14.01B,22.70B,3.047B,25.75B,6.166B,,9.448B,,2.953B,,62.70B,107.17B,,7.084B,2.908B,9.992B,4.745B,14.74B,,,5.556B,,5.556B,10.50B,10.50B,,,35.44B,,21.90B,,21.90B,,3.487B,3.487B,,15.14B,,121.00M,8.841B,49.37B,84.82B,,44.33B,88.10B,92.71B,,,,,-17.48B,22.24B,,AOR,Restated
2010-06,,10.32B,1.916B,12.24B,10.19B,13.68B,,23.49B,,2.102B,493.00M,,2.595B,5.124B,,1.444B,-1.00M,44.90B,,,,,,,38.29B,-24.76B,13.53B,20.54B,2.526B,23.07B,6.038B,,9.185B,,3.122B,1.00M,58.52B,103.42B,,7.233B,2.895B,10.13B,4.539B,14.67B,,,5.633B,,5.633B,10.67B,10.67B,,,34.99B,,21.02B,,21.02B,,3.341B,3.341B,,14.60B,,117.00M,8.295B,47.25B,82.24B,,43.52B,85.32B,89.28B,,,,,-18.51B,21.06B,,AOR,Restated
2010-03,,12.47B,1.505B,13.98B,10.43B,13.50B,,23.51B,,1.969B,555.00M,,2.524B,4.121B,,1.565B,-1.00M,45.70B,,,,,,,39.02B,-25.18B,13.84B,20.89B,2.618B,23.51B,5.794B,,9.542B,,3.537B,2.00M,59.51B,105.21B,,6.345B,2.775B,9.12B,5.285B,14.40B,,,5.014B,,5.014B,11.46B,11.46B,,,34.58B,,21.30B,,21.30B,,3.456B,3.456B,,15.22B,,116.00M,8.506B,48.48B,83.06B,,42.66B,82.78B,85.24B,,,,,-18.18B,22.03B,,AOR,Restated
2009-12,,12.18B,1.791B,13.97B,11.88B,15.35B,,26.79B,,1.96B,534.00M,,2.494B,3.944B,,1.73B,,48.94B,0.00,737.00M,9.314B,25.89B,,3.657B,39.60B,-25.43B,14.16B,20.19B,2.513B,22.70B,5.379B,,10.64B,,4.195B,,60.09B,109.02B,,7.436B,3.826B,11.26B,5.222B,16.48B,,,4.168B,,4.168B,10.84B,10.84B,,,36.00B,,21.93B,,21.93B,,3.562B,3.562B,,15.95B,,118.00M,8.818B,50.26B,86.27B,,41.81B,80.90B,81.24B,,,,,-18.83B,22.64B,,AOR,Restated
2009-09,,9.532B,1.98B,11.51B,10.68B,13.35B,,23.62B,,1.992B,554.00M,,2.546B,3.934B,,1.832B,,43.45B,,,,,,,39.79B,-25.60B,14.19B,19.27B,2.436B,21.71B,5.051B,,10.23B,,6.341B,,60.23B,103.68B,,6.145B,2.213B,8.358B,5.704B,14.06B,,,4.885B,,4.885B,9.703B,9.703B,,-1.00M,32.96B,,20.58B,,20.58B,,3.348B,3.348B,,18.43B,,98.00M,9.864B,52.22B,85.18B,,40.48B,76.81B,78.41B,,,,,-20.49B,18.40B,,AOR,Restated
2009-06,,11.68B,848.00M,12.53B,10.74B,13.52B,,23.86B,,2.126B,565.00M,,2.691B,3.709B,,1.652B,1.00M,44.44B,,,,,,,38.67B,-24.72B,13.95B,18.74B,2.58B,21.32B,4.813B,,10.20B,,6.762B,1.00M,59.22B,103.66B,,5.869B,2.259B,8.128B,5.562B,13.69B,,,8.504B,,8.504B,10.34B,10.34B,,,36.43B,,20.87B,,20.87B,,3.283B,3.283B,,18.46B,,94.00M,9.142B,51.75B,88.18B,,39.77B,74.33B,77.68B,,,,,-21.04B,15.38B,,AOR,Restated
2009-03,,12.29B,1.00M,12.30B,10.51B,13.31B,,23.46B,,2.191B,568.00M,,2.759B,4.068B,,1.41B,,44.00B,,,,,,,37.59B,-23.86B,13.73B,18.07B,2.721B,20.79B,4.928B,,10.04B,,6.523B,-1.00M,57.95B,101.94B,,5.878B,2.032B,7.91B,5.87B,13.78B,,,9.87B,,9.87B,10.41B,10.41B,,,37.42B,,21.11B,,21.11B,,3.23B,3.23B,,18.28B,,92.00M,8.214B,50.83B,88.25B,,39.43B,71.97B,76.15B,,,,,-21.65B,13.60B,,AOR,Restated
2008-12,,12.74B,166.00M,12.91B,12.08B,15.83B,,27.56B,,2.176B,524.00M,1.00M,2.701B,4.299B,,1.542B,,49.00B,0.00,729.00M,8.819B,24.95B,1.00M,3.946B,38.44B,-24.14B,14.30B,18.23B,2.878B,21.10B,5.058B,,11.18B,,7.27B,-1.00M,60.52B,109.52B,,7.014B,2.743B,9.757B,6.58B,16.34B,,,11.24B,,11.24B,10.24B,10.24B,,,42.44B,,22.69B,,22.69B,,3.171B,3.171B,,19.45B,,119.00M,8.193B,53.50B,95.94B,,39.13B,70.35B,74.17B,,,,,-21.84B,13.46B,,,Restated
2008-09,,9.755B,1.00M,9.756B,11.03B,14.22B,,24.94B,,2.323B,677.00M,,3.00B,4.714B,,1.778B,,44.19B,,,,,,,39.01B,-24.35B,14.66B,18.86B,3.05B,21.91B,5.526B,10.99B,-136.00M,,,-1.00M,71.72B,115.91B,,6.77B,2.497B,9.267B,5.324B,14.59B,,,16.18B,,16.18B,9.555B,9.555B,,-1.00M,44.75B,,18.23B,,18.23B,,2.881B,2.881B,,13.58B,,,8.944B,43.64B,88.39B,,38.87B,66.60B,73.57B,,,,,-4.384B,27.52B,,AOR,Restated
2008-06,,9.626B,221.00M,9.847B,11.99B,15.56B,,27.23B,,2.248B,667.00M,,2.915B,4.371B,,1.949B,2.00M,46.31B,,,,,,,40.32B,-24.93B,15.39B,19.62B,3.277B,22.90B,5.829B,11.54B,-65.00M,,,,74.62B,120.93B,,7.531B,2.831B,10.36B,6.508B,16.87B,,,12.71B,,12.71B,10.82B,10.82B,,,44.68B,,21.52B,,21.52B,,3.171B,3.171B,,14.24B,,,9.045B,47.98B,92.66B,,37.88B,64.46B,71.07B,,,,,-3.006B,28.26B,,AOR,Restated
2008-03,,10.79B,1.241B,12.03B,12.15B,15.05B,,26.89B,,2.224B,752.00M,,2.976B,4.456B,,2.072B,,48.42B,,,,,,,40.01B,-24.54B,15.47B,18.62B,3.122B,21.75B,6.262B,11.52B,-60.00M,,,,73.40B,121.82B,,7.329B,3.033B,10.36B,6.553B,16.92B,,,15.24B,,15.24B,11.08B,11.08B,,,47.05B,,19.95B,,19.95B,,3.235B,3.235B,,14.26B,,,8.60B,46.05B,93.10B,,36.25B,62.38B,66.62B,,,,,-3.282B,28.73B,,AOR,Restated
2007-12,,14.99B,1.155B,16.15B,12.50B,16.58B,,28.79B,,1.996B,668.00M,,2.664B,3.891B,,1.687B,,53.18B,0.00,701.00M,8.498B,29.39B,,,38.58B,-23.50B,15.08B,14.28B,2.107B,16.39B,5.248B,11.60B,,,1.513B,-1.00M,67.25B,120.43B,,8.054B,,8.054B,5.901B,13.96B,5.831B,6.404B,12.24B,,12.24B,9.802B,9.802B,,3.673B,44.31B,114.00M,23.04B,,23.04B,1.064B,3.06B,4.124B,388.00M,14.64B,534.00M,,2.705B,47.65B,91.96B,,35.19B,60.64B,63.94B,,,,,-3.414B,28.47B,,AOR,Restated
2007-09,,9.295B,4.528B,13.82B,11.27B,13.78B,,24.80B,,2.051B,804.00M,,2.855B,3.14B,,1.969B,,46.59B,,,,,,,38.32B,-23.48B,14.84B,13.84B,2.162B,16.00B,9.007B,10.27B,,,,-1.00M,62.02B,108.61B,,6.732B,2.564B,9.296B,5.948B,15.24B,,,16.55B,,16.55B,8.826B,8.826B,,1.00M,45.01B,,18.78B,,18.78B,,2.98B,2.98B,,13.62B,,,7.678B,43.05B,88.06B,,34.70B,57.30B,63.94B,,,,,-7.513B,20.55B,,AOR,Restated
2007-06,,7.01B,3.179B,10.19B,10.90B,13.64B,,24.29B,,2.082B,766.00M,,2.848B,3.175B,,1.794B,,42.29B,,,,37.13B,,,37.13B,-22.65B,14.48B,13.20B,2.09B,15.29B,8.865B,10.24B,,,,-1.00M,60.26B,102.55B,,6.653B,2.314B,8.967B,5.392B,14.36B,,,20.54B,,20.54B,9.359B,9.359B,,,48.08B,,14.18B,,14.18B,,2.907B,2.907B,,13.22B,,,7.405B,37.71B,85.79B,,33.37B,55.50B,64.12B,,,,,-7.997B,16.76B,,AOR,Restated
2007-03,,6.953B,3.829B,10.78B,11.07B,13.23B,,24.02B,,2.15B,762.00M,,2.912B,2.985B,,1.751B,-1.00M,42.45B,,,,36.72B,,,36.72B,-22.31B,14.41B,13.10B,2.157B,15.26B,8.383B,10.12B,,,,-1.00M,59.17B,101.62B,,6.859B,2.096B,8.955B,5.152B,14.11B,,,9.661B,,9.661B,9.38B,9.38B,,,36.76B,,14.28B,,14.28B,,,,,13.15B,,,9.611B,37.05B,73.81B,,32.26B,53.88B,49.73B,,,,,-8.607B,27.81B,,AOR,Restated
2006-12,,8.022B,2.634B,10.66B,11.75B,15.40B,,26.85B,,2.304B,506.00M,,2.81B,2.539B,,1.806B,1.00M,44.66B,0.00,693.00M,8.243B,23.91B,1.00M,3.678B,36.52B,-22.08B,14.44B,12.85B,2.203B,15.06B,8.381B,10.07B,,,,-1.00M,58.57B,103.23B,,7.964B,4.67B,12.63B,5.372B,18.01B,3.779B,5.123B,8.902B,,8.902B,8.587B,8.587B,,1.00M,40.09B,106.00M,13.78B,,13.78B,665.00M,2.502B,3.167B,1.331B,13.55B,235.00M,,2.465B,34.64B,74.73B,,31.27B,52.43B,46.30B,,,,,-8.901B,28.51B,,AOR,Restated
2006-09,,8.484B,2.417B,10.90B,10.28B,12.71B,,22.68B,,2.292B,842.00M,,3.134B,2.548B,,1.403B,-1.00M,40.67B,,,,35.64B,,,35.64B,-21.59B,14.06B,10.34B,1.599B,11.94B,4.855B,9.434B,,,,-1.00M,63.49B,104.16B,,22.25B,4.125B,26.37B,,26.37B,,,8.555B,,8.555B,,,,,34.93B,,13.44B,,13.44B,,,,,13.01B,,,8.53B,34.98B,69.91B,,30.26B,49.40B,45.10B,,,,,-315.00M,34.25B,,AOR,Restated
2006-06,,7.10B,2.89B,9.99B,10.27B,12.43B,,22.34B,,2.238B,873.00M,,3.111B,2.514B,,1.64B,,39.59B,,,,35.24B,,,35.24B,-21.27B,13.96B,10.32B,1.657B,11.98B,5.046B,9.504B,,,,-1.00M,63.79B,103.38B,,22.40B,3.816B,26.21B,,26.21B,,,7.907B,,7.907B,,,,,34.12B,,13.87B,,13.87B,,,,,13.05B,,,8.789B,35.71B,69.83B,,29.82B,47.65B,43.57B,,,,,-354.00M,33.55B,,AOR,Restated
2006-03,,9.135B,3.167B,12.30B,9.789B,12.50B,,21.89B,,1.848B,1.104B,,2.952B,2.651B,,1.784B,,41.58B,,,,34.38B,,,34.38B,-20.67B,13.71B,10.12B,1.715B,11.84B,4.975B,9.281B,,,,-1.00M,60.88B,102.47B,,22.21B,3.895B,26.11B,,26.11B,,,7.16B,,7.16B,,,,,33.27B,,15.32B,,15.32B,,,,,12.89B,,,8.252B,36.47B,69.74B,,29.43B,46.10B,41.04B,,,,,-1.758B,32.73B,,AOR,Restated
2005-12,,12.57B,1.118B,13.69B,10.68B,14.17B,,24.43B,,1.939B,902.00M,,2.841B,23.57B,,1.765B,-20.62B,45.66B,,,,,,,34.26B,-20.50B,13.76B,9.441B,1.663B,11.10B,4.974B,9.628B,,,,20.62B,60.09B,105.75B,,7.349B,4.71B,12.06B,5.233B,17.29B,858.00M,6.358B,7.216B,,7.216B,7.319B,7.319B,,,35.15B,,15.42B,,15.42B,1.616B,2.437B,4.053B,1.504B,13.78B,314.00M,,2.423B,37.50B,72.65B,,28.93B,44.73B,38.55B,,,,,-2.016B,33.10B,,AOR,Restated
2005-09,,8.252B,2.00M,8.254B,10.89B,12.44B,,23.33B,,2.09B,1.20B,,3.29B,2.718B,,1.555B,,39.14B,,,,,,,34.33B,-20.29B,14.04B,,11.06B,11.06B,,,,,,36.76B,61.87B,101.01B,,22.02B,,22.02B,,22.02B,,,4.05B,,4.05B,,,,3.898B,29.96B,,17.37B,,17.37B,,,,,,,,23.44B,40.81B,70.77B,,28.19B,41.90B,37.64B,,,,,-2.211B,30.24B,,,Restated
2005-06,,8.648B,11.00M,8.659B,11.64B,13.12B,,24.27B,,2.075B,1.173B,,3.248B,2.653B,,1.679B,,40.51B,,,,34.65B,,,34.65B,-20.44B,14.21B,9.165B,1.801B,10.97B,7.029B,9.198B,,,,,62.88B,103.39B,,22.23B,3.83B,26.06B,,26.06B,,,6.134B,,6.134B,,,,,32.20B,,17.58B,,17.58B,,,,,15.16B,,,8.326B,41.07B,73.26B,,27.72B,40.72B,35.99B,,,,,-2.324B,30.12B,,AOR,Restated
2005-03,,8.637B,14.00M,8.651B,11.25B,13.90B,,24.58B,,2.241B,1.176B,,3.417B,2.746B,,1.95B,,41.34B,,,,35.51B,,,35.51B,-20.80B,14.71B,8.593B,1.739B,10.33B,6.938B,9.799B,,,,,63.56B,104.90B,,23.66B,3.838B,27.49B,,27.49B,,,6.329B,,6.329B,,,,,33.82B,,17.08B,,17.08B,,,,,15.60B,,,8.478B,41.16B,74.98B,,27.30B,39.22B,34.43B,,,,,-2.163B,29.92B,,AOR,Restated
2004-12,,10.05B,517.00M,10.57B,12.34B,16.48B,,28.14B,,2.137B,1.179B,,3.316B,2.708B,,2.413B,,47.14B,0.00,840.00M,9.10B,22.70B,,3.744B,36.38B,-21.21B,15.18B,8.437B,1.789B,10.23B,7.115B,10.95B,,,,,63.86B,111.00B,,9.444B,4.728B,14.17B,6.536B,20.71B,3.151B,4.948B,8.099B,,8.099B,7.175B,7.175B,,,39.79B,,14.83B,,14.83B,1.77B,2.222B,3.992B,1.796B,15.88B,434.00M,,2.596B,39.53B,79.32B,,26.67B,38.15B,31.07B,,,,,-2.061B,31.69B,,AOR,Restated
2004-09,,9.178B,493.00M,9.671B,10.83B,13.16B,,23.99B,,2.162B,1.169B,,3.331B,2.627B,,2.505B,306.00M,42.43B,,,,,,,37.16B,-22.55B,14.61B,,8.172B,8.172B,,,,,,35.47B,58.25B,100.68B,,22.44B,,22.44B,,22.44B,,,8.427B,,8.427B,,,,4.295B,35.17B,,13.52B,,13.52B,,,,,,,,22.28B,35.81B,70.97B,,17.69B,41.83B,28.25B,,,,,-1.564B,29.70B,,,
2004-06,,7.715B,478.00M,8.193B,10.81B,13.85B,,24.66B,,2.089B,1.093B,,3.182B,2.65B,,2.416B,307.00M,41.41B,,,,,,,36.81B,-22.24B,14.57B,,8.055B,8.055B,,,,,,35.55B,58.17B,99.58B,,22.54B,,22.54B,,22.54B,,,7.505B,,7.505B,,4.315B,4.315B,,34.36B,,14.42B,,14.42B,,,,,,,,21.97B,36.40B,70.75B,,17.41B,40.31B,26.99B,,,,,-1.896B,28.83B,,,Restated
2004-03,,7.45B,1.051B,8.501B,10.88B,14.66B,,25.55B,,1.997B,1.052B,,3.049B,2.626B,,2.581B,313.00M,42.62B,,,,,,,37.19B,-22.58B,14.61B,,7.371B,7.371B,,,,,,37.22B,59.21B,101.82B,,22.74B,,22.74B,,22.74B,,,7.568B,,7.568B,,,,5.072B,35.38B,,16.10B,,16.10B,,,,,,,,22.16B,38.26B,73.64B,,16.95B,38.73B,25.71B,,,,,-1.793B,28.18B,,,Restated
2003-12,,7.29B,357.00M,7.647B,11.34B,18.32B,,28.92B,,1.95B,992.00M,,2.942B,21.03B,,2.542B,-18.43B,44.66B,0.00,865.00M,9.261B,22.32B,,3.71B,36.15B,-21.46B,14.69B,6.921B,1.724B,8.645B,7.294B,10.74B,,,,18.43B,59.80B,104.46B,,8.46B,5.475B,13.94B,6.879B,20.81B,2.349B,4.297B,6.646B,,6.646B,6.492B,6.492B,,,37.62B,,16.99B,,16.99B,1.834B,1.842B,3.676B,1.527B,14.83B,117.00M,,1.834B,38.97B,76.59B,,16.27B,37.52B,24.03B,,,,,-1.896B,27.86B,,,Restated
2003-09,,5.451B,720.00M,6.171B,11.00B,15.23B,,26.23B,,2.173B,1.109B,,3.282B,2.231B,,2.443B,209.00M,40.57B,,,,,,,36.72B,-22.23B,14.49B,,7.325B,7.325B,,,,,,34.81B,56.62B,97.19B,,22.18B,,22.18B,,22.18B,,,5.935B,,5.935B,,,,4.483B,32.60B,,17.09B,,17.09B,,,,,,,,20.18B,37.27B,69.86B,,15.67B,35.20B,21.07B,,,,,-2.477B,27.33B,,,
2003-06,,4.842B,979.00M,5.821B,10.68B,14.93B,,25.61B,,2.286B,1.075B,,3.361B,2.414B,,2.368B,218.00M,39.80B,,,,,,,36.70B,-22.14B,14.56B,,7.042B,7.042B,,,,,,35.54B,57.14B,96.94B,,22.01B,,22.01B,,22.01B,,,4.873B,,4.873B,,,,4.63B,31.51B,,18.97B,,18.97B,,,,,,,,19.88B,38.85B,70.36B,,15.41B,33.70B,19.94B,,,,,-2.599B,26.57B,,,
2003-03,,4.195B,1.382B,5.577B,11.10B,14.68B,,25.78B,,2.253B,,1.065B,3.318B,2.423B,,2.423B,212.00M,39.74B,,,,,,,36.26B,-21.90B,14.36B,,6.394B,6.394B,,,,,,35.23B,55.98B,95.72B,,21.35B,,21.35B,,21.35B,,,5.767B,,5.767B,,,,4.673B,31.79B,,20.04B,,20.04B,,,,,,,,19.32B,39.36B,71.15B,,15.26B,32.31B,19.92B,,,,,-3.079B,24.57B,,,
2002-12,,5.382B,593.00M,5.975B,11.36B,16.00B,,27.36B,,2.188B,960.00M,,3.148B,2.554B,,2.617B,,41.65B,0.00,837.00M,8.978B,26.27B,,,36.08B,-21.64B,14.44B,,4.677B,4.677B,,,,,4.314B,31.40B,54.83B,96.48B,,7.63B,,7.63B,6.413B,14.04B,,,6.031B,,6.031B,5.276B,5.276B,,9.20B,34.55B,,19.99B,,19.99B,1.45B,,1.45B,,,,,17.72B,39.15B,73.70B,,14.86B,31.56B,20.21B,,,,,-3.418B,22.78B,,,Restated
2002-09,,5.216B,6.00M,5.222B,9.748B,14.46B,,24.20B,,2.39B,1.034B,,3.424B,2.068B,,2.315B,83.00M,37.32B,,,,,,,36.06B,-21.60B,14.45B,,1.717B,1.717B,,,,,,30.47B,46.64B,83.96B,,18.44B,,18.44B,,18.44B,,,7.971B,,7.971B,,,,3.833B,30.24B,,17.77B,,17.77B,,,,,,,,13.85B,31.62B,61.86B,,14.57B,31.65B,23.32B,,,,,-811.00M,22.09B,,,
2002-06,,3.453B,114.00M,3.567B,9.769B,15.10B,,24.87B,,2.788B,1.054B,,3.842B,1.92B,,2.436B,84.00M,36.72B,,,,,,,36.38B,-21.67B,14.71B,,1.729B,1.729B,,,,,,31.05B,47.49B,84.21B,,19.40B,,19.40B,,19.40B,,,9.571B,,9.571B,,,,3.623B,32.60B,,16.27B,,16.27B,,,,,,,,13.95B,30.22B,62.82B,,14.52B,30.74B,23.07B,,,,,-793.00M,21.40B,,,
2002-03,,3.833B,134.00M,3.967B,9.563B,14.56B,,24.12B,,3.137B,1.27B,,4.407B,2.467B,,2.332B,94.00M,37.38B,,,,,,,39.38B,-22.75B,16.63B,,1.786B,1.786B,,,,,,27.26B,45.67B,83.06B,,17.61B,,17.61B,,17.61B,,,8.243B,,8.243B,,,,4.235B,30.08B,,16.66B,,16.66B,,,,,,,,13.26B,29.92B,60.00B,,14.44B,31.04B,21.55B,,,,,-881.00M,23.05B,,,
2001-12,,6.33B,63.00M,6.393B,10.36B,16.66B,,27.02B,,3.045B,1.259B,,4.304B,2.222B,,2.402B,122.00M,42.46B,0.00,859.00M,10.07B,27.44B,,,38.38B,-21.87B,16.50B,,1.634B,1.634B,,,,,2.395B,27.31B,47.84B,90.30B,,7.047B,,7.047B,,7.047B,,,11.19B,,11.19B,4.223B,4.223B,,12.66B,35.12B,,15.96B,,15.96B,1.485B,,1.485B,,,,,14.29B,31.74B,66.86B,,14.25B,30.14B,20.11B,,,,,-828.00M,23.45B,,,
2001-09,,3.715B,297.00M,4.012B,10.63B,16.04B,,26.68B,,3.387B,1.451B,,4.838B,2.395B,,2.387B,,40.31B,,,,,,,39.08B,-22.26B,16.82B,,,,,,,,,27.96B,44.78B,85.09B,,18.38B,,18.38B,,18.38B,,,10.91B,,10.91B,,,,3.589B,32.88B,,17.65B,,17.65B,,,,,,,,12.59B,30.24B,63.12B,,13.85B,28.12B,19.44B,,,,,-547.00M,21.98B,,,
2001-06,,3.691B,89.00M,3.78B,10.70B,15.91B,,26.60B,,3.338B,1.52B,,4.858B,2.917B,,2.414B,,40.57B,,,,,,,38.34B,-21.73B,16.61B,,,,,,,,,26.76B,43.37B,83.94B,,17.50B,,17.50B,,17.50B,,,8.536B,,8.536B,,,,3.916B,29.95B,,18.77B,,18.77B,,,,,,,,12.63B,31.40B,61.35B,,13.95B,26.82B,17.90B,247.00M,,,,-285.00M,22.59B,,,
2001-03,,3.793B,74.00M,3.867B,10.55B,,16.85B,27.40B,,3.374B,1.638B,,5.012B,3.347B,,2.35B,,41.98B,,,,,,,38.36B,-21.85B,16.51B,,,,,,,,,26.30B,42.82B,84.79B,,17.82B,,17.82B,,17.82B,,,10.91B,,10.91B,,,,4.168B,32.90B,,17.92B,,17.92B,,,,,,,,12.50B,30.42B,63.32B,,13.18B,25.16B,16.72B,247.00M,,,,-163.00M,21.47B,,,
2000-12,,3.563B,159.00M,3.722B,12.02B,18.70B,,30.73B,,3.319B,1.446B,,4.765B,1.966B,,2.701B,,43.88B,0.00,896.00M,9.904B,27.66B,,,38.46B,-21.74B,16.71B,,,,14.45B,13.31B,,,,,44.47B,88.35B,,8.192B,4.827B,13.02B,4.865B,17.88B,3.521B,6.684B,10.20B,,10.20B,4.516B,4.516B,,,36.41B,,18.37B,,18.37B,1.623B,1.266B,2.889B,226.00M,8.482B,,,1.351B,31.32B,67.72B,,12.65B,23.78B,13.80B,247.00M,,,,-295.00M,20.62B,,AOR,
2000-09,,2.88B,153.00M,3.033B,21.90B,,4.806B,26.70B,,3.697B,1.212B,,4.909B,5.391B,,,,40.04B,,,,,,,38.09B,-21.76B,16.33B,,,,,,,,,27.51B,43.84B,83.88B,,18.32B,,18.32B,,18.32B,,,10.70B,,10.70B,,,,3.802B,32.81B,,18.68B,,18.68B,1.342B,,1.342B,,,,,11.50B,31.52B,64.33B,,13.14B,21.43B,14.86B,247.00M,,,,-160.00M,19.55B,,,
2000-06,,2.987B,274.00M,3.261B,21.14B,,5.056B,26.20B,,3.721B,1.038B,,4.759B,5.216B,,,,39.44B,,,,,,,38.51B,-21.87B,16.63B,,,,,,,,,26.88B,43.51B,82.95B,,17.86B,,17.86B,,17.86B,,,12.32B,,12.32B,,,,3.69B,33.86B,,16.86B,,16.86B,1.394B,,1.394B,,,,,11.66B,29.91B,63.78B,,12.82B,19.75B,13.50B,247.00M,,,,112.00M,19.17B,,,
2000-03,,3.285B,321.00M,3.606B,19.74B,,5.585B,25.32B,,3.765B,1.305B,,5.07B,5.143B,,,,39.14B,,,,,,,39.12B,-22.16B,16.96B,,,,,,,,,26.67B,43.62B,82.76B,,17.88B,,17.88B,,17.88B,,,13.84B,,13.84B,,,,3.882B,35.61B,,14.30B,,14.30B,1.336B,,1.336B,,,,,12.00B,27.64B,63.25B,,12.70B,18.08B,11.92B,247.00M,,,,659.00M,19.52B,,,
1999-12,,5.043B,788.00M,5.831B,10.46B,17.16B,,27.62B,,3.706B,1.162B,,4.868B,1.931B,,2.907B,,43.16B,0.00,1.026B,10.40B,28.20B,,,39.62B,-22.03B,17.59B,,,,13.67B,13.08B,,,,,44.34B,87.50B,,6.40B,4.792B,11.19B,5.787B,16.98B,5.074B,9.156B,14.23B,,14.23B,4.529B,4.529B,,,39.58B,,14.12B,,14.12B,1.354B,1.081B,2.435B,228.00M,8.876B,,,1.743B,27.41B,66.98B,,12.01B,16.88B,7.375B,247.00M,,,,1.161B,20.51B,,AOR,Restated
1999-09,,4.582B,1.444B,6.026B,20.38B,,6.432B,26.81B,,3.838B,1.292B,,5.13B,4.91B,,,,42.88B,,,,,,,40.81B,-23.35B,17.46B,,,,,,,,,25.04B,42.50B,85.38B,,19.90B,,19.90B,,19.90B,,,14.10B,,14.10B,,,,3.778B,37.78B,,13.81B,,13.81B,1.407B,,1.407B,,,,,12.32B,27.53B,65.31B,,12.10B,15.07B,7.733B,247.00M,,,,630.00M,20.07B,,,
1999-06,,5.465B,1.776B,7.241B,19.73B,,6.299B,26.03B,,3.767B,1.272B,,5.039B,5.146B,,,,43.45B,,,,,,,40.02B,-22.76B,17.25B,,,,,,,,,22.64B,39.90B,83.35B,,17.85B,,17.85B,,17.85B,,,14.71B,,14.71B,,,,3.397B,35.96B,,14.33B,,14.33B,1.324B,,1.324B,,,,,12.57B,28.23B,64.19B,,11.88B,13.54B,6.43B,247.00M,,,,161.00M,19.16B,,,
