,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1990-12,147.50M,,147.50M,,220.50M,416.70M,,,43.90M,828.60M,,,,,520.80M,-209.20M,311.60M,,,,,,22.20M,333.80M,1.162B,,138.10M,,138.10M,,138.10M,,,,22.60M,22.60M,,,107.80M,268.50M,14.50M,14.50M,51.20M,51.20M,,,12.80M,78.50M,347.00M,,,717.80M,,,,,,815.40M,,,
1990-09,108.50M,,108.50M,,232.40M,403.30M,,,41.20M,785.40M,,,,,504.00M,-204.80M,299.20M,,,,,,16.50M,315.70M,1.101B,,131.10M,,131.10M,,131.10M,,,,21.50M,21.50M,,,78.80M,231.40M,7.60M,7.60M,55.40M,55.40M,,,11.80M,74.80M,306.20M,,,703.20M,,,,,,794.90M,,,
1990-06,62.30M,,62.30M,,237.90M,422.50M,,,40.00M,762.70M,,,,,493.50M,-196.40M,297.10M,,,,,,18.30M,315.40M,1.078B,,118.60M,,118.60M,,118.60M,,,,26.30M,26.30M,,,69.90M,214.80M,2.60M,2.60M,59.60M,59.60M,,,11.60M,73.80M,288.60M,,,703.60M,,,,,,789.50M,,,
1990-03,69.10M,,69.10M,,208.80M,445.60M,,,42.90M,766.40M,,,,,484.60M,-187.90M,296.70M,,,,,,18.30M,315.00M,1.081B,,142.00M,,142.00M,,142.00M,,,,26.60M,26.60M,,,78.90M,247.50M,2.70M,2.70M,58.80M,58.80M,,,11.30M,72.80M,320.30M,,,679.40M,,,,,,761.10M,,,
1989-12,81.40M,,81.40M,,220.30M,412.40M,,,41.10M,755.20M,,,,,481.50M,-179.20M,302.30M,,,,,,7.70M,310.00M,1.065B,,135.20M,,135.20M,,135.20M,,,,26.60M,26.60M,,,99.80M,261.60M,2.80M,2.80M,58.30M,58.30M,,,10.80M,71.90M,333.50M,,,657.70M,,,,,,731.70M,,,
1989-09,55.30M,,55.30M,,211.20M,369.20M,,,35.50M,671.20M,,,,,473.00M,-174.40M,298.60M,,,,,,15.20M,313.80M,985.00M,,110.80M,,110.80M,,110.80M,,,,15.50M,15.50M,,,86.60M,212.90M,7.60M,7.60M,47.30M,47.30M,,,11.90M,66.80M,279.70M,,,631.30M,,,,,,705.30M,,,
1989-06,26.20M,,26.20M,,224.30M,384.50M,,,32.40M,667.40M,,,,,466.10M,-169.00M,297.10M,,,,,,7.90M,305.00M,972.40M,,137.50M,,137.50M,,137.50M,,,,15.30M,15.30M,,,78.50M,231.30M,5.60M,5.60M,45.50M,45.50M,,,11.80M,62.90M,294.20M,,,610.20M,,,,,,678.20M,,,
1988-12,79.20M,,79.20M,,182.80M,329.90M,,,27.70M,619.60M,,,,,465.20M,-156.60M,308.60M,,,,,,8.00M,316.60M,936.20M,,,,,,,,,,15.50M,15.50M,,,221.30M,236.80M,16.50M,16.50M,47.30M,47.30M,,,0.10M,63.90M,300.70M,,,568.10M,,,,,,635.50M,,,
1987-12,58.40M,,58.40M,,150.30M,342.20M,,,23.30M,574.20M,,,,,379.70M,-129.20M,250.50M,,,,,,7.40M,257.90M,832.10M,,,,,,,,,,35.70M,35.70M,,,165.20M,200.90M,7.00M,7.00M,42.90M,42.90M,,,0.10M,50.00M,250.90M,,,519.00M,,,,,,581.20M,,,
1986-12,180.50M,,180.50M,,130.60M,261.10M,,,10.40M,582.60M,,,,,338.80M,-111.00M,227.80M,,,,,,9.60M,237.40M,820.00M,,,,,,,,,,20.50M,20.50M,,,157.90M,178.40M,22.60M,22.60M,36.80M,36.80M,,,0.10M,59.50M,237.90M,,,520.60M,,,,,,582.10M,,,
1985-12,100.70M,,100.70M,,118.30M,233.60M,,,6.90M,459.50M,,,,,311.00M,-92.80M,218.20M,,,,,,40.10M,258.30M,717.80M,,,,,,,,,,12.70M,12.70M,,,122.20M,134.90M,29.40M,29.40M,35.30M,35.30M,,,,64.70M,199.60M,,,459.30M,,,,,,518.20M,,,
1984-12,62.30M,,62.30M,,112.10M,217.00M,,,7.70M,399.10M,,,,,349.10M,-109.60M,239.50M,,,,,,15.40M,254.90M,654.00M,,,,,,,,,,12.20M,12.20M,,,132.90M,145.10M,21.90M,21.90M,23.20M,23.20M,,,-0.10M,45.00M,190.10M,,,407.70M,,,,,,463.90M,,,
